time,elapsed_seconds,message
05:32:27,0.0001359,PEST++ performance logger started
05:32:27,0.0013501,starting to process control file
05:32:27,0.0094938,finished processing control file
05:32:27,0.0036906,starting basic model IO error checking
05:32:27,0.0007476,finished basic model IO error checking
05:32:27,0.0016342,loading parcov
05:32:27,0.0020741,beginning iteration 1
05:32:27,9.41e-05,commencing to build jacobian parameter sets
05:32:27,0.001049,jacobian parameter sets built, commencing model runs
05:38:12,345.453,jacobian runs complete, processing runs
05:38:12,0.0002769,processing jacobian runs complete
05:38:12,2.7e-05,saving jacobian and sen files
05:38:12,0.0010597,commencing calculation of upgrade vector
05:38:12,0.000401,forming JtQJ matrix
05:38:12,4.79e-05,commencing to scale JtQJ matrix- first SVD...
05:38:12,2.17e-05,starting REDSVD
05:38:12,5.35e-05,retrieving REDSVD components
05:38:12,1.33e-05,trimming REDSVD components to 5elements
05:38:12,1.05e-05,done REDSVD
05:38:12,2.21e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,5.5e-06,JS
05:38:12,1.06e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
05:38:12,3e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,5.8e-06,commencing SVD factorization of lambda-scaled JtQJ
05:38:12,7.8e-06,starting REDSVD
05:38:12,1.41e-05,retrieving REDSVD components
05:38:12,7.4e-06,trimming REDSVD components to 5elements
05:38:12,6.2e-06,done REDSVD
05:38:12,5e-06,SVD factorization complete
05:38:12,0.0002653,commencing linear algebra multiplication to compute upgrade
05:38:12,1.16e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5Vt info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,7e-06,U info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,6.1e-06,jac info: rows = 135: cols = 5: size = 675: nonzeros = 655
05:38:12,5.48e-05,linear algebra multiplication to compute upgrade complete
05:38:12,1.64e-05,commencing check of parameter bounds and gradients
05:38:12,0.0011752,beginning upgrade vector calculations, lambda = 0.1
05:38:12,0.0018496,commencing calculation of upgrade vector
05:38:12,0.0003395,forming JtQJ matrix
05:38:12,3.58e-05,commencing to scale JtQJ matrix- first SVD...
05:38:12,8.3e-06,starting REDSVD
05:38:12,2.89e-05,retrieving REDSVD components
05:38:12,1.06e-05,trimming REDSVD components to 5elements
05:38:12,8.6e-06,done REDSVD
05:38:12,1.74e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,5.4e-06,JS
05:38:12,1.08e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
05:38:12,3.92e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,5.7e-06,commencing SVD factorization of lambda-scaled JtQJ
05:38:12,5.5e-06,starting REDSVD
05:38:12,1.35e-05,retrieving REDSVD components
05:38:12,7.6e-06,trimming REDSVD components to 5elements
05:38:12,7e-06,done REDSVD
05:38:12,5e-06,SVD factorization complete
05:38:12,8.62e-05,commencing linear algebra multiplication to compute upgrade
05:38:12,6.3e-06,S info: rows = 5: cols = 5: size = 25: nonzeros = 5Vt info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,6e-06,U info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,1.09e-05,jac info: rows = 135: cols = 5: size = 675: nonzeros = 655
05:38:12,6.92e-05,linear algebra multiplication to compute upgrade complete
05:38:12,2.15e-05,commencing check of parameter bounds and gradients
05:38:12,1.42e-05,commencing calculation of upgrade vector
05:38:12,0.0002142,forming JtQJ matrix
05:38:12,3.28e-05,commencing to scale JtQJ matrix- first SVD...
05:38:12,6.2e-06,starting REDSVD
05:38:12,1.8e-05,retrieving REDSVD components
05:38:12,7.6e-06,trimming REDSVD components to 5elements
05:38:12,6.5e-06,done REDSVD
05:38:12,1.06e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,4.8e-06,JS
05:38:12,9.9e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
05:38:12,2.84e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,5.2e-06,commencing SVD factorization of lambda-scaled JtQJ
05:38:12,4.88e-05,starting REDSVD
05:38:12,1.83e-05,retrieving REDSVD components
05:38:12,8.1e-06,trimming REDSVD components to 5elements
05:38:12,6.5e-06,done REDSVD
05:38:12,5e-06,SVD factorization complete
05:38:12,7.3e-05,commencing linear algebra multiplication to compute upgrade
05:38:12,6.1e-06,S info: rows = 5: cols = 5: size = 25: nonzeros = 5Vt info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,5.7e-06,U info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,5.6e-06,jac info: rows = 135: cols = 5: size = 675: nonzeros = 655
05:38:12,4.58e-05,linear algebra multiplication to compute upgrade complete
05:38:12,1.42e-05,commencing check of parameter bounds
05:38:12,6.2e-06,limiting out of bounds pars
05:38:12,1.83e-05,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
05:38:12,5.7e-06,checking for denormal floating point values
05:38:12,5.6e-06,transforming upgrade pars to model pars
05:38:12,5.7e-06,writing upgrade vector to csv file
05:38:12,0.0003545,beginning upgrade vector calculations, lambda = 1
05:38:12,8.31e-05,commencing calculation of upgrade vector
05:38:12,0.0003205,forming JtQJ matrix
05:38:12,4.44e-05,commencing to scale JtQJ matrix- first SVD...
05:38:12,1.11e-05,starting REDSVD
05:38:12,2.23e-05,retrieving REDSVD components
05:38:12,1.47e-05,trimming REDSVD components to 5elements
05:38:12,1.29e-05,done REDSVD
05:38:12,1.87e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,9.3e-06,JS
05:38:12,1.71e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
05:38:12,4.43e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,1.05e-05,commencing SVD factorization of lambda-scaled JtQJ
05:38:12,9e-06,starting REDSVD
05:38:12,2.06e-05,retrieving REDSVD components
05:38:12,1.34e-05,trimming REDSVD components to 5elements
05:38:12,1.15e-05,done REDSVD
05:38:12,9.2e-06,SVD factorization complete
05:38:12,0.0001322,commencing linear algebra multiplication to compute upgrade
05:38:12,1.18e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5Vt info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,1.1e-05,U info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,1.09e-05,jac info: rows = 135: cols = 5: size = 675: nonzeros = 655
05:38:12,5.07e-05,linear algebra multiplication to compute upgrade complete
05:38:12,3.38e-05,commencing check of parameter bounds and gradients
05:38:12,1.36e-05,commencing calculation of upgrade vector
05:38:12,0.0003018,forming JtQJ matrix
05:38:12,4.53e-05,commencing to scale JtQJ matrix- first SVD...
05:38:12,1.11e-05,starting REDSVD
05:38:12,2.23e-05,retrieving REDSVD components
05:38:12,1.36e-05,trimming REDSVD components to 5elements
05:38:12,1.17e-05,done REDSVD
05:38:12,1.71e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,9.3e-06,JS
05:38:12,1.69e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
05:38:12,5.8e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5
05:38:12,1.11e-05,commencing SVD factorization of lambda-scaled JtQJ
05:38:12,8.6e-06,starting REDSVD
05:38:12,2.03e-05,retrieving REDSVD components
05:38:12,1.32e-05,trimming REDSVD components to 5elements
05:38:12,1.14e-05,done REDSVD
05:38:12,9e-06,SVD factorization complete
05:38:12,0.0001303,commencing linear algebra multiplication to compute upgrade
05:38:12,1.09e-05,S info: rows = 5: cols = 5: size = 25: nonzeros = 5Vt info: rows = 5: cols = 5: size = 25: nonzeros = 25
05:38:12,1.13e-05,U info: rows = 5: cols = 5: size = 25: nonzeros = 25
