obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,1755
w_1B_SAN_EDUARDO,1,2615
w_1C_QUINTA_ROSARIO,1,3543
w_2A_DZILAM_BRAVO,1,1295
w_2B_DZILAM_GLEZ,1,2072
w_2C_SAN_GREGORIO,1,2955
w_3A_SAN_FELIPE,1,249
w_3B_SANTA_PILAR,1,650
w_3C_SAN_ISIDRO,1,1158
w_4A_LA_CURVA,1,572
w_4B_MOCTEZUMA,1,1039
w_4C_VISTA_HERMOSA,1,1939
ASM_01,1,6231
ASM_02,1,5177
ASM_03,1,4834
ASM_04,1,4829
ASM_05,1,4154
ASM_06,1,4480
ASM_07,1,3815
ASM_08,1,2846
ASM_09,1,2249
ASM_10,1,1971
ASM_11,1,1980
ASM_12,1,2866
ASM_13,1,3822
ASM_14,1,3828
ASM_15,1,4496
ASM_16,1,4844
ASM_17,1,3840
ASM_18,1,2577
ASM_19,1,2278
ASM_20,1,1711
ASM_22,1,5885
ASM_23,1,6240
ASM_24,1,6944
ASM_25,1,7659
ASM_27,1,8700
ASM_28,1,8693
ASM_30,1,7648
ASM_32,1,8334
ASM_33,1,7639
ASM_34,1,7637
ASM_35,1,7633
ASM_36,1,7280
ASM_37,1,7269
ASM_40,1,5164
ASM_41,1,5517
ASM_42,1,4820
ASM_43,1,4481
ASM_44,1,6218
ASM_45,1,6929
ASM_46,1,6589
ASO_1,1,11655
ASO_10,1,12903
ASO_12,1,12611
ASO_13,1,12614
ASO_14,1,13745
ASO_15,1,14233
ASO_16,1,14236
ASO_17,1,13994
ASO_18,1,12908
ASO_19,1,14000
ASO_2,1,12590
ASO_21,1,14485
ASO_22,1,12013
ASO_23,1,12627
ASO_3,1,11661
ASO_37,1,12903
ASO_38,1,13195
ASO_39,1,12599
ASO_4,1,12299
ASO_5,1,13192
ASO_6,1,11994
ASO_7,1,12894
ASO_8,1,11340
ASO_9,1,12307
B1_BACA,1,4519
B2_MOTUL,1,4199
B3_SACAPUC,1,3532
B4_TIMUL,1,3207
CONAGUA,1,5875
CU01,1,7287
CU02,1,6581
CU03,1,6590
CU04,1,6583
CU05,1,6236
CU06,1,6214
CU07,1,5871
CU08,1,5524
CU09,1,5528
CU10,1,5881
CU11,1,5511
CU12,1,4821
CU13,1,4839
CU14,1,4504
CU15,1,3815
CU16,1,3808
CU17,1,3493
CU18,1,7269
CU19,1,7269
CU20,1,7269
MI1_SIGLO_XX1,1,4511
MI2_THO_O,1,3846
MI3_HACIENDA_X_LUCH,1,3200
MP1_FIUADY,1,5174
MP2_KOMCHEN,1,4155
MP3_PREDECO,1,3176
MP4_CONTENEDORES,1,2565
OBSERVATORIO,1,6581
P1_CELEST_N,1,7907
P2_CHUNCHUCMIL,1,10966
P3_AMARIS_II,1,7583
P4_NOHUAYUN,1,6186
P5_SISAL,1,3780
P6_TAMCHEN,1,7602
RM_10_SAGARPA,1,5881
RM_16_RANCHO,1,3811
RM_17_DZIDZILCHE,1,3493
RM_19_CRIO,1,3190
RM_20_BAAG,1,2580
RM01_DEPORTIVO_SUR,1,7287
RM02_OBERVATORIO,1,6581
RM03_ACUAPARQUE,1,6590
RM04_BOMBEROS,1,6191
RM05_PORTES_GIL,1,6236
RM06_CHALMUCH,1,6214
RM07_ANICABIL,1,5871
RM08_CHENKU,1,5524
RM09_TECNOLOGICO,1,5528
RM11UCU,1,5511
RM12CHEUMAN,1,4821
RM13TIXCUYTUN,1,4837
RM14MEGALITA,1,4504
RM15SIERRA_PAPACAL,1,3815
RM18_SAC_NICTE,1,3830
