time,elapsed_seconds,message
19:22:35,5.53e-05,PEST++ performance logger started
19:22:35,0.0008671,starting to process control file
19:22:35,0.0098551,finished processing control file
19:22:35,0.0031568,starting basic model IO error checking
19:22:35,0.0225775,finished basic model IO error checking
19:22:35,0.0002672,loading parcov
19:22:35,0.0016233,beginning iteration 1
19:22:35,8.66e-05,commencing to build jacobian parameter sets
19:22:35,0.0022571,jacobian parameter sets built, commencing model runs
19:31:35,539.598,jacobian runs complete, processing runs
19:31:35,0.0002769,processing jacobian runs complete
19:31:35,9.6e-06,saving jacobian and sen files
19:31:35,0.0037028,commencing calculation of upgrade vector
19:31:35,0.0003341,forming JtQJ matrix
19:31:35,4.15e-05,commencing to scale JtQJ matrix- first SVD...
19:31:35,1.56e-05,starting REDSVD
19:31:35,5.54e-05,retrieving REDSVD components
19:31:35,1.4e-05,trimming REDSVD components to 6elements
19:31:35,1.26e-05,done REDSVD
19:31:35,2.68e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,6.7e-06,JS
19:31:35,2.24e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
19:31:35,4.24e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,7.1e-06,commencing SVD factorization of lambda-scaled JtQJ
19:31:35,9.3e-06,starting REDSVD
19:31:35,2.26e-05,retrieving REDSVD components
19:31:35,9.5e-06,trimming REDSVD components to 6elements
19:31:35,7.9e-06,done REDSVD
19:31:35,6.2e-06,SVD factorization complete
19:31:35,0.0001057,commencing linear algebra multiplication to compute upgrade
19:31:35,8.1e-06,S info: rows = 6: cols = 6: size = 36: nonzeros = 6Vt info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,7.5e-06,U info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,7.1e-06,jac info: rows = 156: cols = 6: size = 936: nonzeros = 808
19:31:35,6.61e-05,linear algebra multiplication to compute upgrade complete
19:31:35,1.97e-05,commencing check of parameter bounds and gradients
19:31:35,0.0010434,beginning upgrade vector calculations, lambda = 0.1
19:31:35,0.0001033,commencing calculation of upgrade vector
19:31:35,0.000369,forming JtQJ matrix
19:31:35,4.36e-05,commencing to scale JtQJ matrix- first SVD...
19:31:35,9.2e-06,starting REDSVD
19:31:35,2.41e-05,retrieving REDSVD components
19:31:35,1.49e-05,trimming REDSVD components to 6elements
19:31:35,1.37e-05,done REDSVD
19:31:35,2.02e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,1.21e-05,JS
19:31:35,1.59e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
19:31:35,3.78e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,5.9e-06,commencing SVD factorization of lambda-scaled JtQJ
19:31:35,4.9e-06,starting REDSVD
19:31:35,1.64e-05,retrieving REDSVD components
19:31:35,7.5e-06,trimming REDSVD components to 6elements
19:31:35,6.2e-06,done REDSVD
19:31:35,4.8e-06,SVD factorization complete
19:31:35,8.25e-05,commencing linear algebra multiplication to compute upgrade
19:31:35,6.2e-06,S info: rows = 6: cols = 6: size = 36: nonzeros = 6Vt info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,6.1e-06,U info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,5.7e-06,jac info: rows = 156: cols = 6: size = 936: nonzeros = 808
19:31:35,4.72e-05,linear algebra multiplication to compute upgrade complete
19:31:35,1.58e-05,commencing check of parameter bounds and gradients
19:31:35,7e-06,commencing calculation of upgrade vector
19:31:35,0.0002256,forming JtQJ matrix
19:31:35,2.85e-05,commencing to scale JtQJ matrix- first SVD...
19:31:35,5.4e-06,starting REDSVD
19:31:35,1.55e-05,retrieving REDSVD components
19:31:35,7.3e-06,trimming REDSVD components to 6elements
19:31:35,6.5e-06,done REDSVD
19:31:35,1.02e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,4.6e-06,JS
19:31:35,1.06e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
19:31:35,3.08e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,5.3e-06,commencing SVD factorization of lambda-scaled JtQJ
19:31:35,3.59e-05,starting REDSVD
19:31:35,1.99e-05,retrieving REDSVD components
19:31:35,8.4e-06,trimming REDSVD components to 6elements
19:31:35,6.5e-06,done REDSVD
19:31:35,4.8e-06,SVD factorization complete
19:31:35,7.95e-05,commencing linear algebra multiplication to compute upgrade
19:31:35,6.4e-06,S info: rows = 6: cols = 6: size = 36: nonzeros = 6Vt info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,5.8e-06,U info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,5.7e-06,jac info: rows = 156: cols = 6: size = 936: nonzeros = 808
19:31:35,5.2e-05,linear algebra multiplication to compute upgrade complete
19:31:35,1.34e-05,commencing check of parameter bounds
19:31:35,6.4e-06,limiting out of bounds pars
19:31:35,1.89e-05,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
19:31:35,5.8e-06,checking for denormal floating point values
19:31:35,5.6e-06,transforming upgrade pars to model pars
19:31:35,5.2e-06,writing upgrade vector to csv file
19:31:35,0.0002797,beginning upgrade vector calculations, lambda = 1
19:31:35,7.57e-05,commencing calculation of upgrade vector
19:31:35,0.0003138,forming JtQJ matrix
19:31:35,4.43e-05,commencing to scale JtQJ matrix- first SVD...
19:31:35,8.2e-06,starting REDSVD
19:31:35,2.1e-05,retrieving REDSVD components
19:31:35,9.6e-06,trimming REDSVD components to 6elements
19:31:35,8.3e-06,done REDSVD
19:31:35,1.37e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,6e-06,JS
19:31:35,1.4e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
19:31:35,3.47e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 6
19:31:35,6.5e-06,commencing SVD factorization of lambda-scaled JtQJ
19:31:35,5.7e-06,starting REDSVD
19:31:35,1.85e-05,retrieving REDSVD components
19:31:35,8.7e-06,trimming REDSVD components to 6elements
19:31:35,7.6e-06,done REDSVD
19:31:35,5.9e-06,SVD factorization complete
19:31:35,0.0001017,commencing linear algebra multiplication to compute upgrade
19:31:35,7.8e-06,S info: rows = 6: cols = 6: size = 36: nonzeros = 6Vt info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,7.2e-06,U info: rows = 6: cols = 6: size = 36: nonzeros = 36
19:31:35,6.9e-06,jac info: rows = 156: cols = 6: size = 936: nonzeros = 808
19:31:35,6.09e-05,linear algebra multiplication to compute upgrade complete
19:31:35,1.99e-05,commencing check of parameter bounds and gradients
19:31:35,8.5e-06,commencing calculation of upgrade vector
19:31:35,0.0002679,forming JtQJ matrix
19:31:35,2.89e-05,commencing to scale JtQJ matrix- first SVD...
19:31:35,5.5e-06,starting REDSVD
19:31:35,1.51e-05,retrieving REDSVD components
19:31:35,7.3e-06,trimming REDSVD components to 6elements
19:31:35,6.3e-06,done REDSVD
