iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.659331,0.281252,0.247398,1.8,0.2
0,0,0.1,0.75,1.46685,0.731691,0.386209,0.35079,1.55401,0.29907
0,0,0.1,1.1,1.66667,0.632432,0.247745,0.215147,1.8,0.2
0,0,1,1,1.19619,0.9558,1.08025,2.22222,1.8,0.2
0,0,1,0.75,1.1438,0.966663,1.0596,1.82008,1.55401,0.29907
0,0,1,1.1,1.21781,0.951489,1.08862,2.22222,1.8,0.2
0,0,10,1,1.00747,0.996945,1.02663,1.26106,1.8,0.50231
0,0,10,0.75,1.00559,0.997708,1.01991,1.19001,1.55401,0.596663
0,0,10,1.1,1.00822,0.99664,1.02934,1.29065,1.8,0.468888
0,0,100,1,1.00023,1.00044,0.994172,0.956673,1.16345,0.949342
0,0,100,0.75,1.00017,1.00033,0.995626,0.967325,1.12024,0.961761
0,0,100,1.1,1.00025,1.00048,0.993591,0.952445,1.1812,0.94442
0,0,1000,1,0.999945,1.00024,0.997037,0.977085,1.03759,1.00098
0,0,1000,0.75,0.999959,1.00018,0.997777,0.982764,1.02806,1.00073
0,0,1000,1.1,0.999939,1.00026,0.996741,0.974823,1.04143,1.00107
1,0,0.1,1,1.66667,1.02531,0.111111,0.836311,1.8,0.2
1,0,0.1,0.75,1.46986,1.01806,0.193846,0.932133,1.8,0.24748
1,0,0.1,1.1,1.66667,1.02822,0.111111,0.800799,1.8,0.2
1,0,1,1,0.993693,0.885478,0.50892,1.22831,1.8,0.2
1,0,1,0.75,0.997304,0.912048,0.606913,1.24361,1.8,0.24748
1,0,1,1.1,0.992252,0.875068,0.474306,1.22225,1.8,0.2
1,0,10,1,1.00541,0.983158,0.964599,1.36618,1.8,0.353567
1,0,10,0.75,1.00611,0.986512,0.980391,1.3469,1.8,0.379421
1,0,10,1.1,1.00513,0.98182,0.958354,1.37398,1.8,0.343726
1,0,100,1,1.0083,0.995542,1.02701,1.3372,1.76938,0.454503
1,0,100,0.75,1.00828,0.995816,1.02759,1.3254,1.77698,0.458058
1,0,100,1.1,1.00831,0.995432,1.02678,1.34194,1.76635,0.45309
1,0,1000,1,1.00833,0.996606,1.03025,1.30533,1.77909,0.467104
1,0,1000,0.75,1.0083,0.996614,1.03002,1.30164,1.78429,0.467549
1,0,1000,1.1,1.00834,0.996602,1.03034,1.30681,1.77701,0.466926
2,0,0.1,1,1.49643,0.166667,0.111111,0.796563,1.8,0.2
2,0,0.1,0.75,1.35472,0.259654,0.190414,0.912872,1.8,0.228995
2,0,0.1,1.1,1.55718,0.166667,0.111111,0.7543,1.8,0.2
2,0,1,1,0.972532,0.783143,0.623086,1.26539,1.8,0.2
2,0,1,0.75,0.980582,0.828683,0.693893,1.2917,1.8,0.228995
2,0,1,1.1,0.96933,0.765635,0.596829,1.25501,1.8,0.2
2,0,10,1,1.0007,0.959513,0.915947,1.36001,1.8,0.278157
2,0,10,0.75,1.00181,0.965042,0.926369,1.36349,1.8,0.293272
2,0,10,1.1,1.00026,0.957311,0.911811,1.35862,1.8,0.272331
2,0,100,1,1.00468,0.979572,0.953861,1.37108,1.8,0.336518
2,0,100,0.75,1.00479,0.980133,0.954982,1.3718,1.8,0.338305
2,0,100,1.1,1.00464,0.979347,0.953413,1.37079,1.8,0.335805
2,0,1000,1,1.00509,0.981597,0.957876,1.37341,1.8,0.343003
2,0,1000,0.75,1.0051,0.981653,0.957996,1.37355,1.8,0.343183
2,0,1000,1.1,1.00508,0.981574,0.957829,1.37335,1.8,0.342931
3,0,0.1,1,1.66667,1.66667,0.112459,1.00663,1.8,0.2
3,0,0.1,0.75,1.46695,1.45094,0.189767,1.085,1.8,0.216046
3,0,0.1,1.1,1.66667,1.66667,0.111111,0.976896,1.8,0.2
3,0,1,1,1.29005,1.05377,0.688224,1.30937,1.8,0.2
3,0,1,0.75,1.21055,1.02878,0.738369,1.32151,1.8,0.216046
3,0,1,1.1,1.32329,1.06394,0.669132,1.30454,1.8,0.2
3,0,10,1,1.02616,0.966176,0.885791,1.35499,1.8,0.230602
3,0,10,0.75,1.01962,0.963952,0.892225,1.35589,1.8,0.240393
3,0,10,1.1,1.02879,0.967067,0.88323,1.35462,1.8,0.226798
3,0,100,1,1.00283,0.958192,0.909275,1.35931,1.8,0.267814
3,0,100,0.75,1.00218,0.957972,0.909908,1.35914,1.8,0.268936
3,0,100,1.1,1.00308,0.95828,0.909022,1.35938,1.8,0.267366
3,0,1000,1,1.00051,0.957399,0.911577,1.35889,1.8,0.271874
3,0,1000,0.75,1.00045,0.957377,0.911636,1.35882,1.8,0.271988
3,0,1000,1.1,1.00054,0.957408,0.911554,1.35892,1.8,0.271828
