time,elapsed_seconds,message
11:29:13,5.17e-05,PEST++ performance logger started
11:29:13,0.0008881,starting to process control file
11:29:13,0.0091381,finished processing control file
11:29:13,0.0038272,starting basic model IO error checking
11:29:13,0.000742,finished basic model IO error checking
11:29:13,0.0006003,loading parcov
11:29:13,0.0024244,beginning iteration 1
11:29:13,7.39e-05,commencing to build jacobian parameter sets
11:29:13,0.0010731,jacobian parameter sets built, commencing model runs
11:49:42,1229.16,jacobian runs complete, processing runs
11:49:42,0.0006986,processing jacobian runs complete
11:49:42,2.76e-05,saving jacobian and sen files
11:49:42,0.0016195,commencing calculation of upgrade vector
11:49:42,0.000485,forming JtQJ matrix
11:49:42,3.68e-05,commencing to scale JtQJ matrix- first SVD...
11:49:42,1.55e-05,starting REDSVD
11:49:42,0.0004323,retrieving REDSVD components
11:49:42,2.1e-05,trimming REDSVD components to 4elements
11:49:42,9.6e-06,done REDSVD
11:49:42,0.0001362,S info: rows = 6: cols = 6: size = 36: nonzeros = 4
11:49:42,1.18e-05,JS
11:49:42,1.07e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
11:49:42,2.35e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 4
11:49:42,5.3e-06,commencing SVD factorization of lambda-scaled JtQJ
11:49:42,6.6e-06,starting REDSVD
11:49:42,1.63e-05,retrieving REDSVD components
11:49:42,7.6e-06,trimming REDSVD components to 4elements
11:49:42,5.8e-06,done REDSVD
11:49:42,4.9e-06,SVD factorization complete
11:49:42,0.0002387,commencing linear algebra multiplication to compute upgrade
11:49:42,1.02e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 4Vt info: rows = 4: cols = 6: size = 24: nonzeros = 16
11:49:42,6.6e-06,U info: rows = 6: cols = 4: size = 24: nonzeros = 16
11:49:42,5.9e-06,jac info: rows = 135: cols = 6: size = 810: nonzeros = 480
11:49:42,4.6e-05,linear algebra multiplication to compute upgrade complete
11:49:42,1.6e-05,commencing check of parameter bounds and gradients
11:49:42,0.0011481,beginning upgrade vector calculations, lambda = 0.1
11:49:42,0.0002486,commencing calculation of upgrade vector
11:49:42,0.0002951,forming JtQJ matrix
11:49:42,3.94e-05,commencing to scale JtQJ matrix- first SVD...
11:49:42,1.08e-05,starting REDSVD
11:49:42,2.57e-05,retrieving REDSVD components
11:49:42,1.25e-05,trimming REDSVD components to 4elements
11:49:42,1e-05,done REDSVD
11:49:42,2.19e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 4
11:49:42,9.4e-06,JS
11:49:42,1.49e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
11:49:42,3.19e-05,S info: rows = 6: cols = 6: size = 36: nonzeros = 4
11:49:42,9.2e-06,commencing SVD factorization of lambda-scaled JtQJ
11:49:42,9.3e-06,starting REDSVD
11:49:42,2.19e-05,retrieving REDSVD components
11:49:42,1.3e-05,trimming REDSVD components to 4elements
11:49:42,9.5e-06,done REDSVD
