obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,8793
w_1B_SAN_EDUARDO,1,12554
w_1C_QUINTA_ROSARIO,1,16602
w_2A_DZILAM_BRAVO,1,6696
w_2B_DZILAM_GLEZ,1,9483
w_2C_SAN_GREGORIO,1,14638
w_3A_SAN_FELIPE,1,980
w_3B_SANTA_PILAR,1,2988
w_3C_SAN_ISIDRO,1,5500
w_4A_LA_CURVA,1,2504
w_4B_MOCTEZUMA,1,4857
w_4C_VISTA_HERMOSA,1,9207
ASM_01,1,30783
ASM_02,1,25342
ASM_03,1,23819
ASM_04,1,23062
ASM_05,1,20824
ASM_06,1,21549
ASM_07,1,19342
ASM_08,1,13726
ASM_09,1,11105
ASM_10,1,9867
ASM_11,1,9277
ASM_12,1,13771
ASM_13,1,18642
ASM_14,1,19375
ASM_15,1,21586
ASM_16,1,23095
ASM_17,1,18677
ASM_18,1,12474
ASM_19,1,11170
ASM_20,1,9285
ASM_22,1,28458
ASM_23,1,30803
ASM_24,1,33143
ASM_25,1,37825
ASM_27,1,42436
ASM_28,1,42420
ASM_30,1,38577
ASM_32,1,41617
ASM_33,1,38557
ASM_34,1,37781
ASM_35,1,36998
ASM_36,1,36216
ASM_37,1,35416
ASM_40,1,26084
ASM_41,1,26865
ASM_42,1,23792
ASM_43,1,22291
ASM_44,1,30760
ASM_45,1,33111
ASM_46,1,33132
ASO_1,1,57138
ASO_10,1,63330
ASO_12,1,61372
ASO_13,1,61377
ASO_14,1,67095
ASO_15,1,69814
ASO_16,1,69820
ASO_17,1,68211
ASO_18,1,63342
ASO_19,1,68758
ASO_2,1,61979
ASO_21,1,71414
ASO_22,1,59366
ASO_23,1,61409
ASO_3,1,57866
ASO_37,1,63328
ASO_38,1,64630
ASO_39,1,61347
ASO_4,1,60680
ASO_5,1,64628
ASO_6,1,59314
ASO_7,1,63308
ASO_8,1,56442
ASO_9,1,60031
B1_BACA,1,21633
B2_MOTUL,1,20927
B3_SACAPUC,1,17285
B4_TIMUL,1,15189
CONAGUA,1,29987
CU01,1,36227
CU02,1,32337
CU03,1,32357
CU04,1,31564
CU05,1,31571
CU06,1,30749
CU07,1,29199
CU08,1,27656
CU09,1,27664
CU10,1,28447
CU11,1,26084
CU12,1,23796
CU13,1,23833
CU14,1,21600
CU15,1,19345
CU16,1,18609
CU17,1,17907
CU18,1,35416
CU19,1,35416
CU20,1,35416
MI1_SIGLO_XX1,1,21619
MI2_THO_O,1,18694
MI3_HACIENDA_X_LUCH,1,15854
MP1_FIUADY,1,24575
MP2_KOMCHEN,1,20831
MP3_PREDECO,1,15799
MP4_CONTENEDORES,1,12448
OBSERVATORIO,1,32337
P1_CELEST_N,1,38387
P2_CHUNCHUCMIL,1,53428
P3_AMARIS_II,1,37657
P4_NOHUAYUN,1,29904
P5_SISAL,1,19269
P6_TAMCHEN,1,36930
RM_10_SAGARPA,1,28447
RM_16_RANCHO,1,19335
RM_17_DZIDZILCHE,1,17907
RM_19_CRIO,1,15832
RM_20_BAAG,1,13135
RM01_DEPORTIVO_SUR,1,36227
RM02_OBERVATORIO,1,32337
RM03_ACUAPARQUE,1,32357
RM04_BOMBEROS,1,31470
RM05_PORTES_GIL,1,31571
RM06_CHALMUCH,1,30749
RM07_ANICABIL,1,29199
RM08_CHENKU,1,27656
RM09_TECNOLOGICO,1,27664
RM11UCU,1,26084
RM12CHEUMAN,1,23797
RM13TIXCUYTUN,1,23833
RM14MEGALITA,1,21600
RM15SIERRA_PAPACAL,1,19345
RM18_SAC_NICTE,1,18658
