obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,1990
w_1B_SAN_EDUARDO,1,2003
w_1C_QUINTA_ROSARIO,1,4113
w_2A_DZILAM_BRAVO,1,1967
w_2B_DZILAM_GLEZ,1,2057
w_2C_SAN_GREGORIO,1,2423
w_3A_SAN_FELIPE,1,1956
w_3B_SANTA_PILAR,1,2159
w_3C_SAN_ISIDRO,1,2287
w_4A_LA_CURVA,1,1944
w_4B_MOCTEZUMA,1,2348
w_4C_VISTA_HERMOSA,1,4609
ASM_01,1,4489
ASM_02,1,4264
ASM_03,1,2125
ASM_04,1,2125
ASM_05,1,2400
ASM_06,1,3885
ASM_07,1,2399
ASM_08,1,1874
ASM_09,1,392
ASM_10,1,1519
ASM_11,1,83
ASM_12,1,2123
ASM_13,1,3987
ASM_14,1,3990
ASM_15,1,4481
ASM_16,1,4477
ASM_17,1,4480
ASM_18,1,2843
ASM_19,1,2261
ASM_20,1,178
ASM_22,1,4482
ASM_23,1,4451
ASM_24,1,4415
ASM_25,1,4436
ASM_27,1,4442
ASM_28,1,4411
ASM_30,1,4375
ASM_32,1,4401
ASM_33,1,4405
ASM_34,1,4269
ASM_35,1,4199
ASM_36,1,4265
ASM_37,1,3915
ASM_40,1,3300
ASM_41,1,3227
ASM_42,1,4241
ASM_43,1,4237
ASM_44,1,3932
ASM_45,1,4257
ASM_46,1,4270
ASO_1,1,2148
ASO_10,1,4392
ASO_12,1,4390
ASO_13,1,4390
ASO_14,1,4190
ASO_15,1,4578
ASO_16,1,4578
ASO_17,1,4578
ASO_18,1,4389
ASO_19,1,4382
ASO_2,1,2000
ASO_21,1,3983
ASO_22,1,4649
ASO_23,1,4560
ASO_3,1,2169
ASO_37,1,3898
ASO_38,1,4185
ASO_39,1,2158
ASO_4,1,3809
ASO_5,1,4185
ASO_6,1,3811
ASO_7,1,4186
ASO_8,1,3904
ASO_9,1,3906
B1_BACA,1,4156
B2_MOTUL,1,4111
B3_SACAPUC,1,2114
B4_TIMUL,1,3798
CONAGUA,1,4272
CU01,1,4266
CU02,1,4256
CU03,1,4415
CU04,1,4255
CU05,1,4415
CU06,1,4009
CU07,1,4254
CU08,1,4254
CU09,1,4271
CU10,1,4261
CU11,1,3300
CU12,1,4241
CU13,1,4154
CU14,1,4486
CU15,1,2399
CU16,1,2398
CU17,1,2401
CU18,1,3915
CU19,1,3915
CU20,1,3915
MI1_SIGLO_XX1,1,4158
MI2_THO_O,1,4127
MI3_HACIENDA_X_LUCH,1,4145
MP1_FIUADY,1,4264
MP2_KOMCHEN,1,3987
MP3_PREDECO,1,2124
MP4_CONTENEDORES,1,1942
OBSERVATORIO,1,4256
P1_CELEST_N,1,3187
P2_CHUNCHUCMIL,1,2234
P3_AMARIS_II,1,3971
P4_NOHUAYUN,1,3864
P5_SISAL,1,1984
P6_TAMCHEN,1,3166
RM_10_SAGARPA,1,4261
RM_16_RANCHO,1,4243
RM_17_DZIDZILCHE,1,2401
RM_19_CRIO,1,3228
RM_20_BAAG,1,2843
RM01_DEPORTIVO_SUR,1,4266
RM02_OBERVATORIO,1,4256
RM03_ACUAPARQUE,1,4415
RM04_BOMBEROS,1,3864
RM05_PORTES_GIL,1,4415
RM06_CHALMUCH,1,4009
RM07_ANICABIL,1,4254
RM08_CHENKU,1,4254
RM09_TECNOLOGICO,1,4271
RM11UCU,1,3300
RM12CHEUMAN,1,4241
RM13TIXCUYTUN,1,4154
RM14MEGALITA,1,4486
RM15SIERRA_PAPACAL,1,2399
RM18_SAC_NICTE,1,3990
