obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,1492
w_1B_SAN_EDUARDO,1,2542
w_1C_QUINTA_ROSARIO,1,2713
w_2A_DZILAM_BRAVO,1,1522
w_2B_DZILAM_GLEZ,1,1778
w_2C_SAN_GREGORIO,1,1860
w_3A_SAN_FELIPE,1,1455
w_3B_SANTA_PILAR,1,1734
w_3C_SAN_ISIDRO,1,1731
w_4A_LA_CURVA,1,1506
w_4B_MOCTEZUMA,1,1867
w_4C_VISTA_HERMOSA,1,2766
ASM_01,1,2791
ASM_02,1,2787
ASM_03,1,2787
ASM_04,1,1848
ASM_05,1,1848
ASM_06,1,1796
ASM_07,1,1796
ASM_08,1,1552
ASM_09,1,1161
ASM_10,1,324
ASM_11,1,1260
ASM_12,1,2646
ASM_13,1,1758
ASM_14,1,2647
ASM_15,1,2786
ASM_16,1,2897
ASM_17,1,2725
ASM_18,1,1777
ASM_19,1,1524
ASM_20,1,1283
ASM_22,1,2784
ASM_23,1,2889
ASM_24,1,2865
ASM_25,1,2862
ASM_27,1,2879
ASM_28,1,2867
ASM_30,1,2864
ASM_32,1,2858
ASM_33,1,2860
ASM_34,1,2860
ASM_35,1,2607
ASM_36,1,2788
ASM_37,1,2614
ASM_40,1,2776
ASM_41,1,2656
ASM_42,1,2774
ASM_43,1,1796
ASM_44,1,2783
ASM_45,1,2782
ASM_46,1,2791
ASO_1,1,2556
ASO_10,1,1708
ASO_12,1,2853
ASO_13,1,2853
ASO_14,1,2947
ASO_15,1,2749
ASO_16,1,2850
ASO_17,1,2947
ASO_18,1,2854
ASO_19,1,2261
ASO_2,1,1679
ASO_21,1,2772
ASO_22,1,2762
ASO_23,1,2983
ASO_3,1,2556
ASO_37,1,2746
ASO_38,1,2746
ASO_39,1,1723
ASO_4,1,2557
ASO_5,1,2746
ASO_6,1,2557
ASO_7,1,1723
ASO_8,1,2604
ASO_9,1,2605
B1_BACA,1,2717
B2_MOTUL,1,2710
B3_SACAPUC,1,1707
B4_TIMUL,1,2551
CONAGUA,1,2902
CU01,1,2790
CU02,1,2790
CU03,1,2791
CU04,1,2791
CU05,1,2784
CU06,1,2775
CU07,1,2783
CU08,1,2785
CU09,1,2785
CU10,1,2896
CU11,1,2776
CU12,1,2774
CU13,1,2786
CU14,1,2898
CU15,1,1796
CU16,1,1846
CU17,1,1847
CU18,1,2614
CU19,1,2614
CU20,1,2614
MI1_SIGLO_XX1,1,2733
MI2_THO_O,1,2726
MI3_HACIENDA_X_LUCH,1,2071
MP1_FIUADY,1,2787
MP2_KOMCHEN,1,1848
MP3_PREDECO,1,2646
MP4_CONTENEDORES,1,1574
OBSERVATORIO,1,2790
P1_CELEST_N,1,2244
P2_CHUNCHUCMIL,1,2576
P3_AMARIS_II,1,2637
P4_NOHUAYUN,1,2229
P5_SISAL,1,1717
P6_TAMCHEN,1,2589
RM_10_SAGARPA,1,2896
RM_16_RANCHO,1,1846
RM_17_DZIDZILCHE,1,1847
RM_19_CRIO,1,2644
RM_20_BAAG,1,1777
RM01_DEPORTIVO_SUR,1,2790
RM02_OBERVATORIO,1,2790
RM03_ACUAPARQUE,1,2791
RM04_BOMBEROS,1,2229
RM05_PORTES_GIL,1,2784
RM06_CHALMUCH,1,2775
RM07_ANICABIL,1,2783
RM08_CHENKU,1,2785
RM09_TECNOLOGICO,1,2785
RM11UCU,1,2776
RM12CHEUMAN,1,2774
RM13TIXCUYTUN,1,2786
RM14MEGALITA,1,2898
RM15SIERRA_PAPACAL,1,1796
RM18_SAC_NICTE,1,2265
