time,elapsed_seconds,message
23:18:07,6.74e-05,PEST++ performance logger started
23:18:07,0.0020181,starting to process control file
23:18:07,0.0103652,finished processing control file
23:18:07,0.0044084,starting basic model IO error checking
23:18:07,0.0008492,finished basic model IO error checking
23:18:07,0.0004917,loading parcov
23:18:07,0.0036582,beginning iteration 1
23:18:07,7.71e-05,commencing to build jacobian parameter sets
23:18:07,0.0014037,jacobian parameter sets built, commencing model runs
23:22:06,239.004,jacobian runs complete, processing runs
23:22:06,0.0003265,processing jacobian runs complete
23:22:06,2.2e-05,saving jacobian and sen files
23:22:06,0.0015428,commencing calculation of upgrade vector
23:22:06,0.0003724,forming JtQJ matrix
23:22:06,5.16e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,1.33e-05,starting REDSVD
23:22:06,6.3e-05,retrieving REDSVD components
23:22:06,1.3e-05,trimming REDSVD components to 6elements
23:22:06,9.2e-06,done REDSVD
23:22:06,2.01e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,5.6e-06,JS
23:22:06,2.3e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
23:22:06,4.13e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,5.9e-06,commencing SVD factorization of lambda-scaled JtQJ
23:22:06,6.5e-06,starting REDSVD
23:22:06,2.29e-05,retrieving REDSVD components
23:22:06,8.3e-06,trimming REDSVD components to 6elements
23:22:06,6.6e-06,done REDSVD
23:22:06,5.1e-06,SVD factorization complete
23:22:06,0.000282,commencing linear algebra multiplication to compute upgrade
23:22:06,9.3e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 6: cols = 7: size = 42: nonzeros = 42
23:22:06,6.5e-06,U info: rows = 7: cols = 6: size = 42: nonzeros = 42
23:22:06,6.2e-06,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
23:22:06,6.9e-05,linear algebra multiplication to compute upgrade complete
23:22:06,2.65e-05,commencing check of parameter bounds and gradients
23:22:06,0.0010016,beginning upgrade vector calculations, lambda = 0.1
23:22:06,0.0001013,commencing calculation of upgrade vector
23:22:06,0.0002846,forming JtQJ matrix
23:22:06,5.41e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,8.1e-06,starting REDSVD
23:22:06,2.25e-05,retrieving REDSVD components
23:22:06,8.6e-06,trimming REDSVD components to 6elements
23:22:06,7.4e-06,done REDSVD
