iteration,_is_super,_lambda,_scale_factor,mfgw,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.183252,0.274348,1.82813,1.11111,2,0.2
0,0,0.1,0.75,1.46685,0.280083,0.379076,1.57219,1.08223,1.68179,0.29907
0,0,0.1,1.1,1.66667,0.154651,0.241064,1.94181,1.11111,2,0.2
0,0,1,1,1.44617,0.792174,2.22222,1.06181,1.10129,2,0.2
0,0,1,0.75,1.31876,0.839683,1.82008,1.04601,1.07504,1.68179,0.29907
0,0,1,1.1,1.50052,0.773931,2.22222,1.06819,1.11111,2,0.2
0,0,10,1,1.02678,0.971112,1.74259,1.00411,1.00657,1.83777,0.420189
0,0,10,0.75,1.02002,0.978255,1.51669,1.00308,1.00492,1.57841,0.521895
0,0,10,1.1,1.0295,0.96827,1.84211,1.00453,1.00722,1.95309,0.385291
0,0,100,1,1.00288,0.998968,1.13741,1.00062,1.00159,1.01877,0.885645
0,0,100,0.75,1.00216,0.999226,1.10138,1.00046,1.00119,1.01405,0.912945
0,0,100,1.1,1.00317,0.998865,1.15215,1.00068,1.00175,1.02067,0.874954
0,0,1000,1,1.00057,1.00086,1.0395,1.00019,1.00064,0.975473,0.980588
0,0,1000,0.75,1.00042,1.00065,1.02948,1.00014,1.00048,0.981548,0.985405
0,0,1000,1.1,1.00062,1.00095,1.04353,1.00021,1.00071,0.973054,0.978667
1,0,0.1,1,1.66667,0.111111,2.22222,1.29357,1.11111,2,0.2
1,0,0.1,0.75,1.62347,0.180507,2.22222,1.23312,1.11111,2,0.2
1,0,0.1,1.1,1.66667,0.111111,2.22222,1.31858,1.11111,2,0.2
1,0,1,1,1.66667,0.382616,2.22222,1.04387,1.11111,2,0.2
1,0,1,0.75,1.62347,0.456297,2.22222,1.0499,1.11111,2,0.2
1,0,1,1.1,1.66667,0.35659,2.22222,1.04147,1.11111,2,0.2
1,0,10,1,1.5216,0.714302,2.22222,1.06445,1.11111,2,0.2
1,0,10,0.75,1.5163,0.728764,2.22222,1.06539,1.11111,2,0.2
1,0,10,1.1,1.52372,0.708598,2.22222,1.06408,1.11111,2,0.2
1,0,100,1,1.50345,0.76902,2.16125,1.06804,1.11111,2,0.2
1,0,100,0.75,1.50271,0.770245,2.17634,1.06808,1.11111,2,0.2
1,0,100,1.1,1.50375,0.76853,2.15525,1.06803,1.11111,2,0.2
1,0,1000,1,1.50073,0.773339,2.20516,1.06816,1.11111,2,0.2
1,0,1000,0.75,1.50067,0.773487,2.20941,1.06817,1.11111,2,0.2
1,0,1000,1.1,1.50075,0.77328,2.20346,1.06816,1.11111,2,0.2
2,0,0.01,1,1.6667,0.111111,2.22222,1.29356,0.480493,2,0.2
2,0,0.01,0.75,1.66667,0.111111,2.22222,1.29356,0.592522,2,0.2
2,0,0.01,1.1,1.66667,0.111111,2.22222,1.29356,0.441856,2,0.2
2,0,0.1,1,1.6667,0.111111,2.22222,1.29357,0.733057,2,0.2
2,0,0.1,0.75,1.66667,0.111111,2.22222,1.29357,0.813378,2,0.2
2,0,0.1,1.1,1.66667,0.111111,2.22222,1.29357,0.703195,2,0.2
2,0,1,1,1.6667,0.111111,2.22222,1.28031,1.03725,2,0.2
2,0,1,0.75,1.66667,0.111111,2.22222,1.28362,1.05524,2,0.2
2,0,1,1.1,1.66667,0.111111,2.22222,1.279,1.03014,2,0.2
2,0,10,1,1.6667,0.111111,2.22222,1.29217,1.10295,2,0.2
2,0,10,0.75,1.66667,0.111111,2.22222,1.29252,1.10499,2,0.2
2,0,10,1.1,1.66667,0.111111,2.22222,1.29203,1.10214,2,0.2
2,0,100,1,1.6667,0.111111,2.22222,1.29343,1.11029,2,0.2
2,0,100,0.75,1.66667,0.111111,2.22222,1.29347,1.11049,2,0.2
2,0,100,1.1,1.66667,0.111111,2.22222,1.29342,1.1102,2,0.2
2,0,1000,1,1.6667,0.111111,2.22037,1.29357,1.11111,2,0.2
2,0,1000,0.75,1.66667,0.111111,2.22084,1.29357,1.11111,2,0.2
2,0,1000,1.1,1.66667,0.111111,2.22019,1.29357,1.11111,2,0.2
