obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,3463
w_1B_SAN_EDUARDO,1,4640
w_1C_QUINTA_ROSARIO,1,5368
w_2A_DZILAM_BRAVO,1,2663
w_2B_DZILAM_GLEZ,1,3907
w_2C_SAN_GREGORIO,1,4925
w_3A_SAN_FELIPE,1,774
w_3B_SANTA_PILAR,1,1624
w_3C_SAN_ISIDRO,1,2468
w_4A_LA_CURVA,1,1384
w_4B_MOCTEZUMA,1,2198
w_4C_VISTA_HERMOSA,1,3734
ASM_01,1,7681
ASM_02,1,6837
ASM_03,1,6505
ASM_04,1,6494
ASM_05,1,5906
ASM_06,1,6173
ASM_07,1,5624
ASM_08,1,4885
ASM_09,1,4163
ASM_10,1,3750
ASM_11,1,3783
ASM_12,1,4903
ASM_13,1,5626
ASM_14,1,5627
ASM_15,1,6190
ASM_16,1,6512
ASM_17,1,5630
ASM_18,1,4631
ASM_19,1,4270
ASM_20,1,3313
ASM_22,1,7455
ASM_23,1,7696
ASM_24,1,8222
ASM_25,1,8729
ASM_27,1,9356
ASM_28,1,9354
ASM_30,1,8726
ASM_32,1,9152
ASM_33,1,8724
ASM_34,1,8724
ASM_35,1,8723
ASM_36,1,8438
ASM_37,1,8436
ASM_40,1,6833
ASM_41,1,7168
ASM_42,1,6491
ASM_43,1,6173
ASM_44,1,7664
ASM_45,1,8207
ASM_46,1,7951
ASO_1,1,11384
ASO_10,1,12180
ASO_12,1,12070
ASO_13,1,12071
ASO_14,1,12436
ASO_15,1,12578
ASO_16,1,12579
ASO_17,1,12500
ASO_18,1,12181
ASO_19,1,12501
ASO_2,1,12065
ASO_21,1,12671
ASO_22,1,11687
ASO_23,1,12074
ASO_3,1,11385
ASO_37,1,12180
ASO_38,1,12281
ASO_39,1,12067
ASO_4,1,11935
ASO_5,1,12280
ASO_6,1,11682
ASO_7,1,12177
ASO_8,1,11127
ASO_9,1,11937
B1_BACA,1,6216
B2_MOTUL,1,5938
B3_SACAPUC,1,5365
B4_TIMUL,1,5144
CONAGUA,1,7450
CU01,1,8451
CU02,1,7938
CU03,1,7952
CU04,1,7939
CU05,1,7691
CU06,1,7663
CU07,1,7438
CU08,1,7175
CU09,1,7179
CU10,1,7454
CU11,1,7167
CU12,1,6491
CU13,1,6510
CU14,1,6204
CU15,1,5624
CU16,1,5622
CU17,1,5355
CU18,1,8436
CU19,1,8436
CU20,1,8436
MI1_SIGLO_XX1,1,6214
MI2_THO_O,1,5632
MI3_HACIENDA_X_LUCH,1,5142
MP1_FIUADY,1,6836
MP2_KOMCHEN,1,5906
MP3_PREDECO,1,5136
MP4_CONTENEDORES,1,4625
OBSERVATORIO,1,7938
P1_CELEST_N,1,8865
P2_CHUNCHUCMIL,1,10875
P3_AMARIS_II,1,8709
P4_NOHUAYUN,1,7656
P5_SISAL,1,5615
P6_TAMCHEN,1,8715
RM_10_SAGARPA,1,7454
RM_16_RANCHO,1,5623
RM_17_DZIDZILCHE,1,5355
RM_19_CRIO,1,5139
RM_20_BAAG,1,4631
RM01_DEPORTIVO_SUR,1,8451
RM02_OBERVATORIO,1,7938
RM03_ACUAPARQUE,1,7952
RM04_BOMBEROS,1,7657
RM05_PORTES_GIL,1,7691
RM06_CHALMUCH,1,7663
RM07_ANICABIL,1,7438
RM08_CHENKU,1,7175
RM09_TECNOLOGICO,1,7179
RM11UCU,1,7167
RM12CHEUMAN,1,6491
RM13TIXCUYTUN,1,6508
RM14MEGALITA,1,6204
RM15SIERRA_PAPACAL,1,5624
RM18_SAC_NICTE,1,5628
