time,elapsed_seconds,message
22:52:46,5.39e-05,PEST++ performance logger started
22:52:46,0.0008885,starting to process control file
22:52:46,0.0102734,finished processing control file
22:52:46,0.0046356,starting basic model IO error checking
22:52:46,0.0010476,finished basic model IO error checking
22:52:46,0.0001806,loading parcov
22:52:46,0.0015943,beginning iteration 1
22:52:46,0.0005047,commencing to build jacobian parameter sets
22:52:46,0.0013446,jacobian parameter sets built, commencing model runs
22:59:06,379.892,jacobian runs complete, processing runs
22:59:06,0.0004185,processing jacobian runs complete
22:59:06,2.53e-05,saving jacobian and sen files
22:59:06,0.0029938,commencing calculation of upgrade vector
22:59:06,0.0005453,forming JtQJ matrix
22:59:06,5.57e-05,commencing to scale JtQJ matrix- first SVD...
22:59:06,1.28e-05,starting REDSVD
22:59:06,6.5e-05,retrieving REDSVD components
22:59:06,1.44e-05,trimming REDSVD components to 6elements
22:59:06,1.09e-05,done REDSVD
22:59:06,2.15e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7
22:59:06,6.3e-06,JS
22:59:06,1.56e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:59:06,6.17e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7
22:59:06,7.8e-06,commencing SVD factorization of lambda-scaled JtQJ
22:59:06,7.9e-06,starting REDSVD
22:59:06,2.69e-05,retrieving REDSVD components
22:59:06,8.8e-06,trimming REDSVD components to 6elements
22:59:06,6.6e-06,done REDSVD
22:59:06,5.2e-06,SVD factorization complete
22:59:06,0.0002746,commencing linear algebra multiplication to compute upgrade
22:59:06,9.4e-06,S info: rows = 8: cols = 8: size = 64: nonzeros = 7Vt info: rows = 6: cols = 8: size = 48: nonzeros = 42
22:59:06,6.9e-06,U info: rows = 8: cols = 6: size = 48: nonzeros = 42
22:59:06,6.3e-06,jac info: rows = 156: cols = 8: size = 1248: nonzeros = 1006
22:59:06,6.56e-05,linear algebra multiplication to compute upgrade complete
22:59:06,3.66e-05,commencing check of parameter bounds and gradients
22:59:06,0.0010724,beginning upgrade vector calculations, lambda = 0.1
22:59:06,0.0001042,commencing calculation of upgrade vector
22:59:06,0.0004681,forming JtQJ matrix
22:59:06,7.7e-05,commencing to scale JtQJ matrix- first SVD...
22:59:06,1.37e-05,starting REDSVD
22:59:06,4.31e-05,retrieving REDSVD components
22:59:06,1.67e-05,trimming REDSVD components to 6elements
22:59:06,1.4e-05,done REDSVD
22:59:06,2.16e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7
22:59:06,9.3e-06,JS
22:59:06,3.92e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:59:06,8.32e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7
22:59:06,2e-05,commencing SVD factorization of lambda-scaled JtQJ
22:59:06,1.18e-05,starting REDSVD
22:59:06,3.97e-05,retrieving REDSVD components
22:59:06,1.55e-05,trimming REDSVD components to 7elements
22:59:06,1.32e-05,done REDSVD
22:59:06,1.06e-05,SVD factorization complete
22:59:06,0.000188,commencing linear algebra multiplication to compute upgrade
22:59:06,1.25e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7Vt info: rows = 7: cols = 8: size = 56: nonzeros = 49
22:59:06,1.16e-05,U info: rows = 8: cols = 7: size = 56: nonzeros = 49
22:59:06,1.19e-05,jac info: rows = 156: cols = 8: size = 1248: nonzeros = 1006
22:59:06,9.81e-05,linear algebra multiplication to compute upgrade complete
22:59:06,3.23e-05,commencing check of parameter bounds and gradients
22:59:06,1.96e-05,commencing calculation of upgrade vector
22:59:06,0.0004045,forming JtQJ matrix
22:59:06,8.6e-05,commencing to scale JtQJ matrix- first SVD...
22:59:06,1.31e-05,starting REDSVD
22:59:06,3.75e-05,retrieving REDSVD components
22:59:06,1.29e-05,trimming REDSVD components to 6elements
22:59:06,1.09e-05,done REDSVD
22:59:06,1.76e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 7
22:59:06,8e-06,JS
22:59:06,2.72e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
