iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,1,0.190871,0.277378,1.83044,1.11111,1.8,0.2
0,0,0.1,0.75,1.46685,1,0.288772,0.382212,1.57368,1.08223,1.55401,0.29907
0,0,0.1,1.1,1.66667,1,0.161738,0.243994,1.94451,1.11111,1.8,0.2
0,0,1,1,1.44602,1,0.795483,2.22222,1.0619,1.10152,1.8,0.2
0,0,1,0.75,1.31865,1,0.842313,1.82008,1.04608,1.07522,1.55401,0.29907
0,0,1,1.1,1.50035,1,0.777489,2.22222,1.0683,1.11111,1.8,0.2
0,0,10,1,1.02677,1,0.971517,1.74353,1.00412,1.00658,1.8,0.420215
0,0,10,0.75,1.02001,1,0.978561,1.5173,1.00309,1.00493,1.55401,0.52192
0,0,10,1.1,1.02948,1,0.968714,1.8432,1.00453,1.00724,1.8,0.385318
0,0,100,1,1.00288,1,0.999009,1.13747,1.00062,1.00159,1.01885,0.885646
0,0,100,0.75,1.00216,1,0.999257,1.10143,1.00046,1.00119,1.0141,0.912946
0,0,100,1.1,1.00317,1,0.99891,1.15222,1.00068,1.00175,1.02075,0.874955
0,0,1000,1,1.00057,1,1.00087,1.0395,1.00019,1.00064,0.975485,0.980589
0,0,1000,0.75,1.00042,1,1.00065,1.02948,1.00014,1.00048,0.981557,0.985406
0,0,1000,1.1,1.00062,1,1.00095,1.04353,1.00021,1.00071,0.973067,0.978669
1,0,0.1,1,1.66667,1,0.111111,0.968187,0.85826,0.555458,1.8,0.2
1,0,0.1,0.75,1.47755,1,0.190927,1.13727,0.8927,0.644573,1.8,0.235628
1,0,0.1,1.1,1.66667,1,0.111111,0.907816,0.844859,0.523363,1.8,0.2
1,0,1,1,1.19284,1,0.520901,1.75315,0.981797,0.936682,1.8,0.2
1,0,1,0.75,1.14972,1,0.608297,1.77525,0.987433,0.953845,1.8,0.235628
1,0,1,1.1,1.21054,1,0.489566,1.7444,0.979552,0.929903,1.8,0.2
1,0,10,1,1.04456,1,0.90985,1.93099,1.00221,1.00069,1.8,0.311791
