time,elapsed_seconds,message
11:20:25,6.31e-05,PEST++ performance logger started
11:20:25,0.0020211,starting to process control file
11:20:25,0.0091527,finished processing control file
11:20:25,0.0037358,starting basic model IO error checking
11:20:25,0.0008665,finished basic model IO error checking
11:20:25,0.0003937,loading parcov
11:20:25,0.0030068,beginning iteration 1
11:20:25,7.43e-05,commencing to build jacobian parameter sets
11:20:25,0.0014005,jacobian parameter sets built, commencing model runs
12:05:04,2678.54,jacobian runs complete, processing runs
12:05:04,0.0030735,processing jacobian runs complete
12:05:04,5.48e-05,saving jacobian and sen files
12:05:04,0.0041535,commencing calculation of upgrade vector
12:05:04,0.0005365,forming JtQJ matrix
12:05:04,4.48e-05,commencing to scale JtQJ matrix- first SVD...
12:05:04,0.0003617,starting REDSVD
12:05:04,0.0005776,retrieving REDSVD components
12:05:04,2.84e-05,trimming REDSVD components to 5elements
12:05:04,1.87e-05,done REDSVD
12:05:04,2.23e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,5.6e-06,JS
12:05:04,1.24e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:05:04,3.7e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,5.8e-06,commencing SVD factorization of lambda-scaled JtQJ
12:05:04,6.7e-06,starting REDSVD
12:05:04,2.04e-05,retrieving REDSVD components
12:05:04,9e-06,trimming REDSVD components to 5elements
12:05:04,6.4e-06,done REDSVD
12:05:04,5.4e-06,SVD factorization complete
12:05:04,0.000366,commencing linear algebra multiplication to compute upgrade
12:05:04,1.6e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6Vt info: rows = 5: cols = 8: size = 40: nonzeros = 30
12:05:04,1.06e-05,U info: rows = 8: cols = 5: size = 40: nonzeros = 30
12:05:04,9.7e-06,jac info: rows = 135: cols = 8: size = 1080: nonzeros = 720
12:05:04,8.78e-05,linear algebra multiplication to compute upgrade complete
12:05:04,3.61e-05,commencing check of parameter bounds and gradients
12:05:04,0.0012519,beginning upgrade vector calculations, lambda = 0.1
12:05:04,0.0001561,commencing calculation of upgrade vector
12:05:04,0.0003842,forming JtQJ matrix
12:05:04,4.67e-05,commencing to scale JtQJ matrix- first SVD...
12:05:04,1.12e-05,starting REDSVD
12:05:04,3.51e-05,retrieving REDSVD components
12:05:04,1.4e-05,trimming REDSVD components to 5elements
12:05:04,1.02e-05,done REDSVD
12:05:04,1.92e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,8.5e-06,JS
12:05:04,1.67e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:05:04,3.97e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,9.4e-06,commencing SVD factorization of lambda-scaled JtQJ
12:05:04,8.4e-06,starting REDSVD
12:05:04,2.86e-05,retrieving REDSVD components
12:05:04,1.37e-05,trimming REDSVD components to 6elements
12:05:04,1.18e-05,done REDSVD
12:05:04,8.5e-06,SVD factorization complete
12:05:04,0.0001476,commencing linear algebra multiplication to compute upgrade
12:05:04,1.2e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6Vt info: rows = 6: cols = 8: size = 48: nonzeros = 36
12:05:04,1.09e-05,U info: rows = 8: cols = 6: size = 48: nonzeros = 36
12:05:04,1.18e-05,jac info: rows = 135: cols = 8: size = 1080: nonzeros = 720
12:05:04,6.8e-05,linear algebra multiplication to compute upgrade complete
12:05:04,3.03e-05,commencing check of parameter bounds and gradients
12:05:04,1.62e-05,commencing calculation of upgrade vector
12:05:04,0.0003275,forming JtQJ matrix
12:05:04,4.07e-05,commencing to scale JtQJ matrix- first SVD...
12:05:04,9.3e-06,starting REDSVD
12:05:04,2.68e-05,retrieving REDSVD components
12:05:04,1.4e-05,trimming REDSVD components to 5elements
12:05:04,1.17e-05,done REDSVD
12:05:04,1.69e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,8.1e-06,JS
12:05:04,1.52e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:05:04,3.82e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6
12:05:04,8.1e-06,commencing SVD factorization of lambda-scaled JtQJ
12:05:04,5.63e-05,starting REDSVD
12:05:04,3.46e-05,retrieving REDSVD components
12:05:04,1.31e-05,trimming REDSVD components to 6elements
12:05:04,1.13e-05,done REDSVD
12:05:04,8.1e-06,SVD factorization complete
12:05:04,0.0001579,commencing linear algebra multiplication to compute upgrade
12:05:04,1.03e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 6Vt info: rows = 6: cols = 8: size = 48: nonzeros = 36
12:05:04,9.6e-06,U info: rows = 8: cols = 6: size = 48: nonzeros = 36
12:05:04,9.7e-06,jac info: rows = 135: cols = 8: size = 1080: nonzeros = 720
12:05:04,6.5e-05,linear algebra multiplication to compute upgrade complete
12:05:04,4.4e-05,commencing check of parameter bounds
12:05:04,2.5e-05,limiting out of bounds pars
12:05:04,3.29e-05,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
12:05:04,1.39e-05,checking for denormal floating point values
12:05:04,1.28e-05,transforming upgrade pars to model pars
12:05:04,1.2e-05,writing upgrade vector to csv file
12:05:04,0.0004535,beginning upgrade vector calculations, lambda = 1
12:05:04,0.0001154,commencing calculation of upgrade vector
12:05:04,0.0003248,forming JtQJ matrix
12:05:04,4.41e-05,commencing to scale JtQJ matrix- first SVD...
12:05:04,1.06e-05,starting REDSVD
12:05:04,3e-05,retrieving REDSVD components
12:05:04,1.33e-05,trimming REDSVD components to 5elements
12:05:04,9.8e-06,done REDSVD
