iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
0,0,0.1,1,0.196677,1,0.219332,2.22222,0.572003,1,2,0.235304
0,0,0.1,0.75,0.295336,1,0.320499,1.82008,0.657732,1,1.68179,0.337849
0,0,0.1,1.1,0.167159,1,0.188457,2.22222,0.540927,1,2,0.203607
0,0,1,1,0.84954,1,0.851225,2.22222,0.941319,1,2,0.878787
0,0,1,0.75,0.884887,1,0.886203,1.82008,0.955658,1,1.68179,0.907638
0,0,1,1.1,0.8358,1,0.837624,2.22222,0.935643,1,2,0.867505
0,0,10,1,0.983544,1,0.984238,1.2129,0.993691,1,1.04383,0.987616
0,0,10,0.75,0.987632,1,0.988155,1.15576,0.995264,1,1.0327,0.990698
0,0,10,1.1,0.981913,1,0.982676,1.23654,0.993062,1,1.04832,0.986386
0,0,100,1,0.998031,1,0.998993,1.06007,0.999301,1,0.95389,0.998469
0,0,100,0.75,0.998523,1,0.999245,1.04472,0.999476,1,0.965214,0.998852
0,0,100,1.1,0.997834,1,0.998893,1.06627,0.999231,1,0.949397,0.998317
0,0,1000,1,0.99966,1,1.00017,1.02365,0.999901,1,0.972058,0.999712
0,0,1000,0.75,0.999745,1,1.00013,1.01768,0.999926,1,0.97897,0.999784
0,0,1000,1.1,0.999626,1,1.00018,1.02604,0.999891,1,0.969307,0.999683
1,0,0.1,1,0.288187,1,0.111111,2.22222,0.111111,1,2,0.2
1,0,0.1,0.75,0.391538,1,0.191611,1.9193,0.192115,1,1.70175,0.298047
1,0,0.1,1.1,0.254938,1,0.111111,2.22222,0.111111,1,2,0.2
1,0,1,1,0.859309,1,0.667659,2.22222,0.797985,1,1.82586,0.828109
1,0,1,0.75,0.888445,1,0.735392,1.9193,0.842831,1,1.58936,0.865122
1,0,1,1.1,0.847924,1,0.642346,2.22222,0.780723,1,1.93003,0.813751
1,0,10,1,0.968609,1,0.944971,1.35054,0.971775,1,1.12457,0.969222
1,0,10,0.75,0.971918,1,0.954259,1.32109,0.977054,1,1.105,0.973485
1,0,10,1.1,0.967289,1,0.941281,1.3625,0.969672,1,1.13249,0.967522
1,0,100,1,0.980573,1,0.978827,1.24574,0.990931,1,1.05815,0.98466
1,0,100,0.75,0.980908,1,0.979788,1.24343,0.991463,1,1.05568,0.985092
1,0,100,1.1,0.980439,1,0.978443,1.24666,0.990718,1,1.05914,0.984488
1,0,1000,1,0.98178,1,0.982288,1.2367,0.992855,1,1.05016,0.986215
1,0,1000,0.75,0.981813,1,0.982385,1.23666,0.992907,1,1.0497,0.986258
1,0,1000,1.1,0.981766,1,0.982249,1.23671,0.992834,1,1.05035,0.986198
2,0,0.1,1,1.66667,1,0.23138,2.22222,0.969674,1,2,0.581202
2,0,0.1,0.75,1.45471,1,0.328605,1.96641,0.969673,1,1.73493,0.660177
2,0,0.1,1.1,1.66667,1,0.201088,2.22222,0.969674,1,2,0.552323
2,0,1,1,1.18825,1,0.7982,2.22222,0.969672,1,2,0.915132
2,0,1,0.75,1.12868,1,0.83179,1.96641,0.969672,1,1.73493,0.927958
2,0,1,1.1,1.21295,1,0.785147,2.22222,0.969672,1,2,0.910052
2,0,10,1,0.987397,1,0.925204,1.51141,0.969672,1,1.23338,0.962027
2,0,10,0.75,0.982331,1,0.929197,1.47272,0.969672,1,1.20734,0.963398
2,0,10,1.1,0.98943,1,0.923611,1.52717,0.969672,1,1.24395,0.961479
2,0,100,1,0.969273,1,0.939645,1.37605,0.969672,1,1.14333,0.966971
2,0,100,0.75,0.968777,1,0.940053,1.37265,0.969672,1,1.14061,0.967109
2,0,100,1.1,0.969472,1,0.939481,1.37741,0.969672,1,1.14442,0.966916
2,0,1000,1,0.967484,1,0.941114,1.3635,0.969672,1,1.13393,0.967468
2,0,1000,0.75,0.967435,1,0.941156,1.36325,0.969672,1,1.13357,0.967481
2,0,1000,1.1,0.967504,1,0.941098,1.3636,0.969672,1,1.13407,0.967462
