obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,69802
w_1B_SAN_EDUARDO,1,90618
w_1C_QUINTA_ROSARIO,1,101922
w_2A_DZILAM_BRAVO,1,56420
w_2B_DZILAM_GLEZ,1,75052
w_2C_SAN_GREGORIO,1,96981
w_3A_SAN_FELIPE,1,14557
w_3B_SANTA_PILAR,1,34962
w_3C_SAN_ISIDRO,1,49872
w_4A_LA_CURVA,1,31117
w_4B_MOCTEZUMA,1,46032
w_4C_VISTA_HERMOSA,1,72290
ASM_01,1,130070
ASM_02,1,120994
ASM_03,1,117561
ASM_04,1,115889
ASM_05,1,111572
ASM_06,1,112818
ASM_07,1,108509
ASM_08,1,94106
ASM_09,1,82753
ASM_10,1,76250
ASM_11,1,72384
ASM_12,1,94822
ASM_13,1,106862
ASM_14,1,108518
ASM_15,1,112874
ASM_16,1,115953
ASM_17,1,106870
ASM_18,1,90226
ASM_19,1,83790
ASM_20,1,72500
ASM_22,1,126770
ASM_23,1,130081
ASM_24,1,133963
ASM_25,1,141232
ASM_27,1,146433
ASM_28,1,146429
ASM_30,1,142213
ASM_32,1,145675
ASM_33,1,142208
ASM_34,1,141221
ASM_35,1,140124
ASM_36,1,138795
ASM_37,1,137582
ASM_40,1,122633
ASM_41,1,124179
ASM_42,1,117552
ASM_43,1,114348
ASM_44,1,130059
ASM_45,1,133955
ASM_46,1,133961
ASO_1,1,159336
ASO_10,1,164104
ASO_12,1,163300
ASO_13,1,163301
ASO_14,1,165251
ASO_15,1,166012
ASO_16,1,166013
ASO_17,1,165532
ASO_18,1,164107
ASO_19,1,165669
ASO_2,1,163540
ASO_21,1,166522
ASO_22,1,161972
ASO_23,1,163309
ASO_3,1,159981
ASO_37,1,164103
ASO_38,1,164587
ASO_39,1,163294
ASO_4,1,162988
ASO_5,1,164586
ASO_6,1,161959
ASO_7,1,164098
ASO_8,1,158622
ASO_9,1,162600
B1_BACA,1,112944
B2_MOTUL,1,111649
B3_SACAPUC,1,103381
B4_TIMUL,1,98659
CONAGUA,1,128894
CU01,1,138802
CU02,1,132629
CU03,1,132660
CU04,1,131298
CU05,1,131317
CU06,1,130056
CU07,1,127777
CU08,1,125515
CU09,1,125517
CU10,1,126768
CU11,1,122633
CU12,1,117553
CU13,1,117595
CU14,1,112898
CU15,1,108510
CU16,1,106853
CU17,1,105024
CU18,1,137582
CU19,1,137582
CU20,1,137582
MI1_SIGLO_XX1,1,112940
MI2_THO_O,1,106875
MI3_HACIENDA_X_LUCH,1,100262
MP1_FIUADY,1,119276
MP2_KOMCHEN,1,111574
MP3_PREDECO,1,100248
MP4_CONTENEDORES,1,89807
OBSERVATORIO,1,132629
P1_CELEST_N,1,141928
P2_CHUNCHUCMIL,1,155785
P3_AMARIS_II,1,141185
P4_NOHUAYUN,1,128835
P5_SISAL,1,108375
P6_TAMCHEN,1,140107
RM_10_SAGARPA,1,126768
RM_16_RANCHO,1,108508
RM_17_DZIDZILCHE,1,105024
RM_19_CRIO,1,100256
RM_20_BAAG,1,92853
RM01_DEPORTIVO_SUR,1,138802
RM02_OBERVATORIO,1,132629
RM03_ACUAPARQUE,1,132660
RM04_BOMBEROS,1,131275
RM05_PORTES_GIL,1,131317
RM06_CHALMUCH,1,130056
RM07_ANICABIL,1,127777
RM08_CHENKU,1,125515
RM09_TECNOLOGICO,1,125517
RM11UCU,1,122633
RM12CHEUMAN,1,117553
RM13TIXCUYTUN,1,117595
RM14MEGALITA,1,112898
RM15SIERRA_PAPACAL,1,108510
RM18_SAC_NICTE,1,106866
