obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,34673
w_1B_SAN_EDUARDO,1,38947
w_1C_QUINTA_ROSARIO,1,39798
w_2A_DZILAM_BRAVO,1,37449
w_2B_DZILAM_GLEZ,1,39601
w_2C_SAN_GREGORIO,1,39646
w_3A_SAN_FELIPE,1,37502
w_3B_SANTA_PILAR,1,38275
w_3C_SAN_ISIDRO,1,5827
w_4A_LA_CURVA,1,28578
w_4B_MOCTEZUMA,1,39647
w_4C_VISTA_HERMOSA,1,39709
ASM_01,1,38500
ASM_02,1,35376
ASM_03,1,35376
ASM_04,1,37186
ASM_05,1,38729
ASM_06,1,39568
ASM_07,1,38213
ASM_08,1,30676
ASM_09,1,27564
ASM_10,1,324
ASM_11,1,32490
ASM_12,1,38040
ASM_13,1,38658
ASM_14,1,38658
ASM_15,1,35416
ASM_16,1,38226
ASM_17,1,38515
ASM_18,1,37835
ASM_19,1,33720
ASM_20,1,12522
ASM_22,1,38550
ASM_23,1,38550
ASM_24,1,38716
ASM_25,1,39554
ASM_27,1,39873
ASM_28,1,39875
ASM_30,1,39527
ASM_32,1,39553
ASM_33,1,38633
ASM_34,1,38633
ASM_35,1,38755
ASM_36,1,38528
ASM_37,1,39642
ASM_40,1,39594
ASM_41,1,38537
ASM_42,1,39568
ASM_43,1,39568
ASM_44,1,38530
ASM_45,1,35371
ASM_46,1,37184
ASO_1,1,39520
ASO_10,1,37952
ASO_12,1,12755
ASO_13,1,37576
ASO_14,1,35825
ASO_15,1,38144
ASO_16,1,32500
ASO_17,1,22395
ASO_18,1,37547
ASO_19,1,37426
ASO_2,1,38513
ASO_21,1,33817
ASO_22,1,36352
ASO_23,1,38867
ASO_3,1,39545
ASO_37,1,38955
ASO_38,1,38955
ASO_39,1,39476
ASO_4,1,39094
ASO_5,1,38955
ASO_6,1,39094
ASO_7,1,39481
ASO_8,1,39546
ASO_9,1,23696
B1_BACA,1,39534
B2_MOTUL,1,39934
B3_SACAPUC,1,39670
B4_TIMUL,1,39535
CONAGUA,1,10639
CU01,1,36509
CU02,1,38212
CU03,1,35939
CU04,1,38500
CU05,1,10583
CU06,1,38928
CU07,1,35372
CU08,1,36514
CU09,1,38154
CU10,1,37869
CU11,1,39594
CU12,1,39568
CU13,1,38387
CU14,1,10536
CU15,1,38213
CU16,1,38534
CU17,1,39138
CU18,1,39642
CU19,1,39642
CU20,1,39642
MI1_SIGLO_XX1,1,38287
MI2_THO_O,1,39509
MI3_HACIENDA_X_LUCH,1,39085
MP1_FIUADY,1,38536
MP2_KOMCHEN,1,38318
MP3_PREDECO,1,39030
MP4_CONTENEDORES,1,37834
OBSERVATORIO,1,38212
P1_CELEST_N,1,38397
P2_CHUNCHUCMIL,1,39702
P3_AMARIS_II,1,35900
P4_NOHUAYUN,1,39558
P5_SISAL,1,38788
P6_TAMCHEN,1,39539
RM_10_SAGARPA,1,37869
RM_16_RANCHO,1,38534
RM_17_DZIDZILCHE,1,39138
RM_19_CRIO,1,39084
RM_20_BAAG,1,38075
RM01_DEPORTIVO_SUR,1,36509
RM02_OBERVATORIO,1,38212
RM03_ACUAPARQUE,1,35939
RM04_BOMBEROS,1,39564
RM05_PORTES_GIL,1,10583
RM06_CHALMUCH,1,38928
RM07_ANICABIL,1,35372
RM08_CHENKU,1,36514
RM09_TECNOLOGICO,1,38154
RM11UCU,1,39594
RM12CHEUMAN,1,39568
RM13TIXCUYTUN,1,38387
RM14MEGALITA,1,10536
RM15SIERRA_PAPACAL,1,38213
RM18_SAC_NICTE,1,38552
