time,elapsed_seconds,message
00:06:56,5.66e-05,PEST++ performance logger started
00:06:56,0.0009417,starting to process control file
00:06:56,0.0101837,finished processing control file
00:06:56,0.0049907,starting basic model IO error checking
00:06:56,0.0007768,finished basic model IO error checking
00:06:56,0.0001734,loading parcov
00:06:56,0.0019047,beginning iteration 1
00:06:56,8.68e-05,commencing to build jacobian parameter sets
00:06:56,0.0016725,jacobian parameter sets built, commencing model runs
10:25:34,37118.3,jacobian runs complete, processing runs
10:25:34,0.0004885,processing jacobian runs complete
10:25:34,2.96e-05,saving jacobian and sen files
10:25:34,0.0033388,commencing calculation of upgrade vector
10:25:34,0.0005059,forming JtQJ matrix
10:25:34,5.12e-05,commencing to scale JtQJ matrix- first SVD...
10:25:34,1.71e-05,starting REDSVD
10:25:34,7.66e-05,retrieving REDSVD components
10:25:34,1.58e-05,trimming REDSVD components to 6elements
10:25:34,1.23e-05,done REDSVD
10:25:34,2.75e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
10:25:34,8.5e-06,JS
10:25:34,1.69e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:25:34,5.6e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
10:25:34,1.07e-05,commencing SVD factorization of lambda-scaled JtQJ
10:25:34,1.11e-05,starting REDSVD
10:25:34,3.02e-05,retrieving REDSVD components
10:25:34,1.3e-05,trimming REDSVD components to 6elements
10:25:34,1.08e-05,done REDSVD
10:25:34,8.6e-06,SVD factorization complete
10:25:34,0.0004095,commencing linear algebra multiplication to compute upgrade
10:25:34,1.47e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 6: cols = 7: size = 42: nonzeros = 42
10:25:34,1.16e-05,U info: rows = 7: cols = 6: size = 42: nonzeros = 42
10:25:34,1.05e-05,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
10:25:34,9.4e-05,linear algebra multiplication to compute upgrade complete
10:25:34,3.06e-05,commencing check of parameter bounds and gradients
10:25:34,0.0010452,beginning upgrade vector calculations, lambda = 0.1
10:25:34,9.06e-05,commencing calculation of upgrade vector
10:25:34,0.0002786,forming JtQJ matrix
10:25:34,6.27e-05,commencing to scale JtQJ matrix- first SVD...
10:25:34,1.21e-05,starting REDSVD
10:25:34,2.94e-05,retrieving REDSVD components
10:25:34,1.23e-05,trimming REDSVD components to 6elements
10:25:34,1.07e-05,done REDSVD
10:25:34,1.83e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
10:25:34,8.6e-06,JS
10:25:34,3.16e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:25:34,4.78e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
10:25:34,6e-06,commencing SVD factorization of lambda-scaled JtQJ
10:25:34,4.8e-06,starting REDSVD
10:25:34,2.13e-05,retrieving REDSVD components
10:25:34,8.3e-06,trimming REDSVD components to 7elements
10:25:34,7.2e-06,done REDSVD
10:25:34,5.5e-06,SVD factorization complete
10:25:34,9.44e-05,commencing linear algebra multiplication to compute upgrade
10:25:34,6.4e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 7: cols = 7: size = 49: nonzeros = 49
