time,elapsed_seconds,message
01:11:51,5.6e-05,PEST++ performance logger started
01:11:51,0.0008388,starting to process control file
01:11:51,0.0100221,finished processing control file
01:11:51,0.0039856,starting basic model IO error checking
01:11:51,0.0010234,finished basic model IO error checking
01:11:51,0.0001804,loading parcov
01:11:51,0.0015343,beginning iteration 1
01:11:51,8.17e-05,commencing to build jacobian parameter sets
01:11:51,0.0015065,jacobian parameter sets built, commencing model runs
01:24:20,749.121,jacobian runs complete, processing runs
01:24:20,0.0003569,processing jacobian runs complete
01:24:20,2.26e-05,saving jacobian and sen files
01:24:20,0.0034723,commencing calculation of upgrade vector
01:24:20,0.0005295,forming JtQJ matrix
01:24:20,8.06e-05,commencing to scale JtQJ matrix- first SVD...
01:24:20,2e-05,starting REDSVD
01:24:20,5.85e-05,retrieving REDSVD components
01:24:20,1.41e-05,trimming REDSVD components to 7elements
01:24:20,1.08e-05,done REDSVD
01:24:20,2.15e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,6.5e-06,JS
01:24:20,1.7e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
01:24:20,5.3e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,7.1e-06,commencing SVD factorization of lambda-scaled JtQJ
01:24:20,7.6e-06,starting REDSVD
01:24:20,2.6e-05,retrieving REDSVD components
01:24:20,1.04e-05,trimming REDSVD components to 6elements
01:24:20,8.5e-06,done REDSVD
01:24:20,6.3e-06,SVD factorization complete
01:24:20,0.0002974,commencing linear algebra multiplication to compute upgrade
01:24:20,9.1e-06,S info: rows = 8: cols = 8: size = 64: nonzeros = 8Vt info: rows = 6: cols = 8: size = 48: nonzeros = 48
01:24:20,7.2e-06,U info: rows = 8: cols = 6: size = 48: nonzeros = 48
01:24:20,6e-06,jac info: rows = 156: cols = 8: size = 1248: nonzeros = 1152
01:24:20,6.7e-05,linear algebra multiplication to compute upgrade complete
01:24:20,2.38e-05,commencing check of parameter bounds and gradients
01:24:20,0.0011523,beginning upgrade vector calculations, lambda = 0.1
01:24:20,0.0001106,commencing calculation of upgrade vector
01:24:20,0.0004188,forming JtQJ matrix
01:24:20,6.83e-05,commencing to scale JtQJ matrix- first SVD...
01:24:20,8e-06,starting REDSVD
01:24:20,2.86e-05,retrieving REDSVD components
01:24:20,9.6e-06,trimming REDSVD components to 7elements
01:24:20,7.8e-06,done REDSVD
01:24:20,1.32e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,4.9e-06,JS
01:24:20,2.13e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
01:24:20,5.29e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,6.2e-06,commencing SVD factorization of lambda-scaled JtQJ
01:24:20,4.9e-06,starting REDSVD
01:24:20,1.95e-05,retrieving REDSVD components
01:24:20,7.9e-06,trimming REDSVD components to 7elements
01:24:20,7.5e-06,done REDSVD
01:24:20,5.5e-06,SVD factorization complete
01:24:20,9.98e-05,commencing linear algebra multiplication to compute upgrade
01:24:20,6.8e-06,S info: rows = 8: cols = 8: size = 64: nonzeros = 8Vt info: rows = 7: cols = 8: size = 56: nonzeros = 56
01:24:20,6e-06,U info: rows = 8: cols = 7: size = 56: nonzeros = 56
01:24:20,6e-06,jac info: rows = 156: cols = 8: size = 1248: nonzeros = 1152
01:24:20,5.07e-05,linear algebra multiplication to compute upgrade complete
01:24:20,2.27e-05,commencing check of parameter bounds and gradients
01:24:20,8.8e-06,commencing calculation of upgrade vector
01:24:20,0.0002986,forming JtQJ matrix
01:24:20,5.31e-05,commencing to scale JtQJ matrix- first SVD...
01:24:20,6.2e-06,starting REDSVD
01:24:20,1.96e-05,retrieving REDSVD components
01:24:20,7.6e-06,trimming REDSVD components to 7elements
01:24:20,7.3e-06,done REDSVD
01:24:20,1.15e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,5.3e-06,JS
01:24:20,2.11e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
01:24:20,4.69e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,6.4e-06,commencing SVD factorization of lambda-scaled JtQJ
01:24:20,3.52e-05,starting REDSVD
01:24:20,2.48e-05,retrieving REDSVD components
01:24:20,9.6e-06,trimming REDSVD components to 7elements
01:24:20,6.8e-06,done REDSVD
01:24:20,5e-06,SVD factorization complete
01:24:20,9.7e-05,commencing linear algebra multiplication to compute upgrade
01:24:20,6.7e-06,S info: rows = 8: cols = 8: size = 64: nonzeros = 8Vt info: rows = 7: cols = 8: size = 56: nonzeros = 56
01:24:20,6.3e-06,U info: rows = 8: cols = 7: size = 56: nonzeros = 56
01:24:20,6.1e-06,jac info: rows = 156: cols = 8: size = 1248: nonzeros = 1152
01:24:20,5.01e-05,linear algebra multiplication to compute upgrade complete
01:24:20,2.22e-05,commencing check of parameter bounds
01:24:20,7.1e-06,limiting out of bounds pars
01:24:20,1.51e-05,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
01:24:20,5.5e-06,checking for denormal floating point values
01:24:20,5.5e-06,transforming upgrade pars to model pars
01:24:20,5.6e-06,writing upgrade vector to csv file
01:24:20,0.0003906,beginning upgrade vector calculations, lambda = 1
01:24:20,8.56e-05,commencing calculation of upgrade vector
01:24:20,0.0003236,forming JtQJ matrix
01:24:20,5.69e-05,commencing to scale JtQJ matrix- first SVD...
01:24:20,8.8e-06,starting REDSVD
01:24:20,2.71e-05,retrieving REDSVD components
01:24:20,1.08e-05,trimming REDSVD components to 7elements
01:24:20,9e-06,done REDSVD
01:24:20,1.57e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,6.3e-06,JS
01:24:20,1.67e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
01:24:20,5.09e-05,S info: rows = 8: cols = 8: size = 64: nonzeros = 8
01:24:20,6.9e-06,commencing SVD factorization of lambda-scaled JtQJ
01:24:20,6e-06,starting REDSVD
01:24:20,2.42e-05,retrieving REDSVD components
01:24:20,9.7e-06,trimming REDSVD components to 7elements
01:24:20,9e-06,done REDSVD
01:24:20,6.6e-06,SVD factorization complete
01:24:20,0.0001636,commencing linear algebra multiplication to compute upgrade
01:24:20,9.6e-06,S info: rows = 8: cols = 8: size = 64: nonzeros = 8Vt info: rows = 7: cols = 8: size = 56: nonzeros = 56
01:24:20,8e-06,U info: rows = 8: cols = 7: size = 56: nonzeros = 56
