iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,1,0.111111,0.165159,0.440279,0.3,1.21218,0.2
0,0,0.1,0.75,1.46685,1,0.19245,0.259076,0.540501,0.40536,1.15525,0.29907
0,0,0.1,1.1,1.66667,1,0.111111,0.137941,0.405603,0.3,1.23573,0.2
0,0,1,1,1.56697,1,0.695505,2.03134,0.889129,0.433545,1.8,0.2
0,0,1,0.75,1.40054,1,0.761597,1.70152,0.915637,0.534288,1.55401,0.29907
0,0,1,1.1,1.63896,1,0.670704,2.18052,0.878741,0.398784,1.8,0.2
0,0,10,1,1.04426,1,0.950185,1.52675,0.981426,0.877277,1.56864,0.413096
0,0,10,0.75,1.03302,1,0.962401,1.37349,0.986037,0.906468,1.40166,0.515274
0,0,10,1.1,1.04879,1,0.945342,1.59274,0.979588,0.865866,1.64087,0.378143
0,0,100,1,1.00505,1,0.995858,1.1263,0.997748,0.984337,0.987467,0.884854
0,0,100,0.75,1.00378,1,0.996892,1.0933,0.998311,0.98823,0.990585,0.912334
0,0,100,1.1,1.00555,1,0.995445,1.13977,0.997524,0.982785,0.986222,0.874095
0,0,1000,1,1.00087,1,1.00029,1.04419,0.999708,0.997903,0.966244,0.979403
0,0,1000,0.75,1.00065,1,1.00022,1.03296,0.999781,0.998427,0.974575,0.984512
0,0,1000,1.1,1.00096,1,1.00032,1.04871,0.999678,0.997694,0.962932,0.977367
1,0,0.1,1,1.66667,1,0.111111,1.9658,0.3,0.3,1.8,0.2
1,0,0.1,0.75,1.64116,1,0.175749,1.98198,0.393624,0.328927,1.8,0.2
1,0,0.1,1.1,1.66667,1,0.111111,1.95936,0.3,0.3,1.8,0.2
1,0,1,1,1.66667,1,0.33691,1.94301,0.753874,0.3,1.8,0.2
1,0,1,0.75,1.64116,1,0.403841,1.96473,0.785625,0.328927,1.8,0.2
1,0,1,1.1,1.66667,1,0.313354,1.9344,0.741536,0.3,1.8,0.2
1,0,10,1,1.62012,1,0.646224,1.94335,0.874549,0.415852,1.8,0.2
