obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,19969
w_1B_SAN_EDUARDO,1,26499
w_1C_QUINTA_ROSARIO,1,32038
w_2A_DZILAM_BRAVO,1,16036
w_2B_DZILAM_GLEZ,1,21404
w_2C_SAN_GREGORIO,1,29445
w_3A_SAN_FELIPE,1,3735
w_3B_SANTA_PILAR,1,9340
w_3C_SAN_ISIDRO,1,13846
w_4A_LA_CURVA,1,8254
w_4B_MOCTEZUMA,1,12725
w_4C_VISTA_HERMOSA,1,20608
ASM_01,1,48419
ASM_02,1,42355
ASM_03,1,40615
ASM_04,1,39749
ASM_05,1,37203
ASM_06,1,38030
ASM_07,1,35455
ASM_08,1,28115
ASM_09,1,23907
ASM_10,1,21793
ASM_11,1,20694
ASM_12,1,28294
ASM_13,1,34594
ASM_14,1,35488
ASM_15,1,38067
ASM_16,1,39782
ASM_17,1,34629
ASM_18,1,26347
ASM_19,1,24166
ASM_20,1,20724
ASM_22,1,45847
ASM_23,1,48439
ASM_24,1,51058
ASM_25,1,56302
ASM_27,1,61252
ASM_28,1,61236
ASM_30,1,57147
ASM_32,1,60400
ASM_33,1,57127
ASM_34,1,56258
ASM_35,1,55383
ASM_36,1,54508
ASM_37,1,53615
ASM_40,1,43203
ASM_41,1,44084
ASM_42,1,40588
ASM_43,1,38873
ASM_44,1,48396
ASM_45,1,51026
ASM_46,1,51047
ASO_1,1,75963
ASO_10,1,82578
ASO_12,1,80479
ASO_13,1,80487
ASO_14,1,87213
ASO_15,1,90928
ASO_16,1,90951
ASO_17,1,88680
ASO_18,1,82605
ASO_19,1,89442
ASO_2,1,81089
ASO_21,1,93346
ASO_22,1,78320
ASO_23,1,80519
ASO_3,1,76691
ASO_37,1,82576
ASO_38,1,84037
ASO_39,1,80406
ASO_4,1,79697
ASO_5,1,84035
ASO_6,1,78259
ASO_7,1,82556
ASO_8,1,75267
ASO_9,1,79045
B1_BACA,1,38114
B2_MOTUL,1,37306
B3_SACAPUC,1,32906
B4_TIMUL,1,30206
CONAGUA,1,47536
CU01,1,54519
CU02,1,50156
CU03,1,50176
CU04,1,49290
CU05,1,49297
CU06,1,48385
CU07,1,46665
CU08,1,44965
CU09,1,44973
CU10,1,45836
CU11,1,43203
CU12,1,40592
CU13,1,40629
CU14,1,38081
CU15,1,35458
CU16,1,34561
CU17,1,33692
CU18,1,53615
CU19,1,53615
CU20,1,53615
MI1_SIGLO_XX1,1,38100
MI2_THO_O,1,34646
MI3_HACIENDA_X_LUCH,1,31067
MP1_FIUADY,1,41478
MP2_KOMCHEN,1,37210
MP3_PREDECO,1,31012
MP4_CONTENEDORES,1,26242
OBSERVATORIO,1,50156
P1_CELEST_N,1,56957
P2_CHUNCHUCMIL,1,72253
P3_AMARIS_II,1,56134
P4_NOHUAYUN,1,47453
P5_SISAL,1,35359
P6_TAMCHEN,1,55315
RM_10_SAGARPA,1,45836
RM_16_RANCHO,1,35448
RM_17_DZIDZILCHE,1,33692
RM_19_CRIO,1,31045
RM_20_BAAG,1,27389
RM01_DEPORTIVO_SUR,1,54519
RM02_OBERVATORIO,1,50156
RM03_ACUAPARQUE,1,50176
RM04_BOMBEROS,1,49196
RM05_PORTES_GIL,1,49297
RM06_CHALMUCH,1,48385
RM07_ANICABIL,1,46665
RM08_CHENKU,1,44965
RM09_TECNOLOGICO,1,44973
RM11UCU,1,43203
RM12CHEUMAN,1,40593
RM13TIXCUYTUN,1,40629
RM14MEGALITA,1,38081
RM15SIERRA_PAPACAL,1,35458
RM18_SAC_NICTE,1,34610
