obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,2194
w_1B_SAN_EDUARDO,1,2768
w_1C_QUINTA_ROSARIO,1,3151
w_2A_DZILAM_BRAVO,1,1751
w_2B_DZILAM_GLEZ,1,2419
w_2C_SAN_GREGORIO,1,2912
w_3A_SAN_FELIPE,1,723
w_3B_SANTA_PILAR,1,1224
w_3C_SAN_ISIDRO,1,1583
w_4A_LA_CURVA,1,1087
w_4B_MOCTEZUMA,1,1460
w_4C_VISTA_HERMOSA,1,2246
ASM_01,1,4001
ASM_02,1,3711
ASM_03,1,3596
ASM_04,1,3595
ASM_05,1,3368
ASM_06,1,3479
ASM_07,1,3254
ASM_08,1,2875
ASM_09,1,2477
ASM_10,1,2262
ASM_11,1,2295
ASM_12,1,2890
ASM_13,1,3256
ASM_14,1,3257
ASM_15,1,3483
ASM_16,1,3599
ASM_17,1,3260
ASM_18,1,2759
ASM_19,1,2584
ASM_20,1,2044
ASM_22,1,3915
ASM_23,1,4003
ASM_24,1,4181
ASM_25,1,4361
ASM_27,1,4625
ASM_28,1,4623
ASM_30,1,4358
ASM_32,1,4532
ASM_33,1,4356
ASM_34,1,4356
ASM_35,1,4355
ASM_36,1,4265
ASM_37,1,4263
ASM_40,1,3707
ASM_41,1,3817
ASM_42,1,3593
ASM_43,1,3479
ASM_44,1,3998
ASM_45,1,4177
ASM_46,1,4091
ASO_1,1,5369
ASO_10,1,5685
ASO_12,1,5611
ASO_13,1,5612
ASO_14,1,5900
ASO_15,1,6092
ASO_16,1,6105
ASO_17,1,5975
ASO_18,1,5686
ASO_19,1,5993
ASO_2,1,5606
ASO_21,1,6268
ASO_22,1,5459
ASO_23,1,5615
ASO_3,1,5370
ASO_37,1,5685
ASO_38,1,5759
ASO_39,1,5608
ASO_4,1,5533
ASO_5,1,5758
ASO_6,1,5454
ASO_7,1,5682
ASO_8,1,5289
ASO_9,1,5535
B1_BACA,1,3489
B2_MOTUL,1,3379
B3_SACAPUC,1,3148
B4_TIMUL,1,3011
CONAGUA,1,3912
CU01,1,4267
CU02,1,4089
CU03,1,4091
CU04,1,4090
CU05,1,4002
CU06,1,3997
CU07,1,3911
CU08,1,3819
CU09,1,3820
CU10,1,3914
CU11,1,3816
CU12,1,3593
CU13,1,3597
CU14,1,3485
CU15,1,3254
CU16,1,3252
CU17,1,3138
CU18,1,4263
CU19,1,4263
CU20,1,4263
MI1_SIGLO_XX1,1,3487
MI2_THO_O,1,3262
MI3_HACIENDA_X_LUCH,1,3009
MP1_FIUADY,1,3710
MP2_KOMCHEN,1,3368
MP3_PREDECO,1,3003
MP4_CONTENEDORES,1,2753
OBSERVATORIO,1,4089
P1_CELEST_N,1,4425
P2_CHUNCHUCMIL,1,5196
P3_AMARIS_II,1,4342
P4_NOHUAYUN,1,3990
P5_SISAL,1,3245
P6_TAMCHEN,1,4347
RM_10_SAGARPA,1,3914
RM_16_RANCHO,1,3253
RM_17_DZIDZILCHE,1,3138
RM_19_CRIO,1,3006
RM_20_BAAG,1,2759
RM01_DEPORTIVO_SUR,1,4267
RM02_OBERVATORIO,1,4089
RM03_ACUAPARQUE,1,4091
RM04_BOMBEROS,1,3991
RM05_PORTES_GIL,1,4002
RM06_CHALMUCH,1,3997
RM07_ANICABIL,1,3911
RM08_CHENKU,1,3819
RM09_TECNOLOGICO,1,3820
RM11UCU,1,3816
RM12CHEUMAN,1,3593
RM13TIXCUYTUN,1,3597
RM14MEGALITA,1,3485
RM15SIERRA_PAPACAL,1,3254
RM18_SAC_NICTE,1,3258
