obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,8926
w_1B_SAN_EDUARDO,1,10800
w_1C_QUINTA_ROSARIO,1,11040
w_2A_DZILAM_BRAVO,1,9258
w_2B_DZILAM_GLEZ,1,8863
w_2C_SAN_GREGORIO,1,12754
w_3A_SAN_FELIPE,1,9016
w_3B_SANTA_PILAR,1,9093
w_3C_SAN_ISIDRO,1,10663
w_4A_LA_CURVA,1,2640
w_4B_MOCTEZUMA,1,9369
w_4C_VISTA_HERMOSA,1,10577
ASM_01,1,10871
ASM_02,1,10834
ASM_03,1,10834
ASM_04,1,10690
ASM_05,1,10679
ASM_06,1,10584
ASM_07,1,10660
ASM_08,1,1029
ASM_09,1,5776
ASM_10,1,1103
ASM_11,1,7001
ASM_12,1,8936
ASM_13,1,10828
ASM_14,1,10680
ASM_15,1,10830
ASM_16,1,10837
ASM_17,1,11027
ASM_18,1,9362
ASM_19,1,1126
ASM_20,1,7079
ASM_22,1,11205
ASM_23,1,12083
ASM_24,1,12084
ASM_25,1,12252
ASM_27,1,12085
ASM_28,1,12253
ASM_30,1,12234
ASM_32,1,10976
ASM_33,1,12636
ASM_34,1,10869
ASM_35,1,11197
ASM_36,1,11190
ASM_37,1,11974
ASM_40,1,11139
ASM_41,1,10867
ASM_42,1,10872
ASM_43,1,10872
ASM_44,1,11186
ASM_45,1,11189
ASM_46,1,12243
ASO_1,1,9481
ASO_10,1,9431
ASO_12,1,3418
ASO_13,1,3418
ASO_14,1,10068
ASO_15,1,9447
ASO_16,1,9497
ASO_17,1,9504
ASO_18,1,894
ASO_19,1,10070
ASO_2,1,9329
ASO_21,1,9488
ASO_22,1,9332
ASO_23,1,9404
ASO_3,1,10546
ASO_37,1,10602
ASO_38,1,896
ASO_39,1,9435
ASO_4,1,10624
ASO_5,1,11910
ASO_6,1,9846
ASO_7,1,10640
ASO_8,1,10200
ASO_9,1,9433
B1_BACA,1,11045
B2_MOTUL,1,11048
B3_SACAPUC,1,11029
B4_TIMUL,1,10950
CONAGUA,1,11185
CU01,1,11193
CU02,1,10975
CU03,1,12242
CU04,1,10871
CU05,1,12242
CU06,1,11138
CU07,1,11186
CU08,1,10873
CU09,1,10873
CU10,1,10836
CU11,1,11139
CU12,1,11137
CU13,1,10832
CU14,1,11054
CU15,1,10660
CU16,1,10864
CU17,1,9266
CU18,1,11974
CU19,1,11974
CU20,1,11974
MI1_SIGLO_XX1,1,11053
MI2_THO_O,1,10652
MI3_HACIENDA_X_LUCH,1,11025
MP1_FIUADY,1,10834
MP2_KOMCHEN,1,10646
MP3_PREDECO,1,9403
MP4_CONTENEDORES,1,8391
OBSERVATORIO,1,10975
P1_CELEST_N,1,9841
P2_CHUNCHUCMIL,1,10196
P3_AMARIS_II,1,12446
P4_NOHUAYUN,1,11981
P5_SISAL,1,10923
P6_TAMCHEN,1,12812
RM_10_SAGARPA,1,10836
RM_16_RANCHO,1,10864
RM_17_DZIDZILCHE,1,9266
RM_19_CRIO,1,10824
RM_20_BAAG,1,10825
RM01_DEPORTIVO_SUR,1,11193
RM02_OBERVATORIO,1,10975
RM03_ACUAPARQUE,1,12242
RM04_BOMBEROS,1,12772
RM05_PORTES_GIL,1,12242
RM06_CHALMUCH,1,11138
RM07_ANICABIL,1,11186
RM08_CHENKU,1,10873
RM09_TECNOLOGICO,1,10873
RM11UCU,1,11139
RM12CHEUMAN,1,11137
RM13TIXCUYTUN,1,10832
RM14MEGALITA,1,11054
RM15SIERRA_PAPACAL,1,10660
RM18_SAC_NICTE,1,10826
