obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,26387
w_1B_SAN_EDUARDO,1,27496
w_1C_QUINTA_ROSARIO,1,28083
w_2A_DZILAM_BRAVO,1,26909
w_2B_DZILAM_GLEZ,1,28038
w_2C_SAN_GREGORIO,1,28228
w_3A_SAN_FELIPE,1,26902
w_3B_SANTA_PILAR,1,28756
w_3C_SAN_ISIDRO,1,28161
w_4A_LA_CURVA,1,21921
w_4B_MOCTEZUMA,1,28052
w_4C_VISTA_HERMOSA,1,28701
ASM_01,1,28191
ASM_02,1,28140
ASM_03,1,28140
ASM_04,1,28743
ASM_05,1,28185
ASM_06,1,28080
ASM_07,1,28139
ASM_08,1,23889
ASM_09,1,20981
ASM_10,1,324
ASM_11,1,25467
ASM_12,1,27409
ASM_13,1,28081
ASM_14,1,27773
ASM_15,1,28167
ASM_16,1,28130
ASM_17,1,28128
ASM_18,1,27142
ASM_19,1,26836
ASM_20,1,6229
ASM_22,1,28129
ASM_23,1,28747
ASM_24,1,28747
ASM_25,1,28525
ASM_27,1,28518
ASM_28,1,28527
ASM_30,1,28841
ASM_32,1,28844
ASM_33,1,28146
ASM_34,1,28146
ASM_35,1,28845
ASM_36,1,28850
ASM_37,1,28172
ASM_40,1,27975
ASM_41,1,28186
ASM_42,1,27975
ASM_43,1,27975
ASM_44,1,28189
ASM_45,1,28188
ASM_46,1,28746
ASO_1,1,27984
ASO_10,1,27124
ASO_12,1,6324
ASO_13,1,6324
ASO_14,1,26578
ASO_15,1,27340
ASO_16,1,24568
ASO_17,1,15916
ASO_18,1,26665
ASO_19,1,27313
ASO_2,1,27782
ASO_21,1,26459
ASO_22,1,27514
ASO_23,1,28054
ASO_3,1,27984
ASO_37,1,27124
ASO_38,1,27240
ASO_39,1,27619
ASO_4,1,27619
ASO_5,1,27502
ASO_6,1,28044
ASO_7,1,29069
ASO_8,1,28045
ASO_9,1,27491
B1_BACA,1,28175
B2_MOTUL,1,28192
B3_SACAPUC,1,28133
B4_TIMUL,1,28082
CONAGUA,1,28191
CU01,1,28849
CU02,1,28744
CU03,1,28746
CU04,1,28744
CU05,1,28746
CU06,1,28189
CU07,1,28189
CU08,1,28191
CU09,1,28191
CU10,1,28748
CU11,1,27975
CU12,1,28187
CU13,1,28167
CU14,1,28168
CU15,1,28139
CU16,1,28139
CU17,1,27464
CU18,1,28172
CU19,1,28172
CU20,1,28172
MI1_SIGLO_XX1,1,27956
MI2_THO_O,1,27965
MI3_HACIENDA_X_LUCH,1,27965
MP1_FIUADY,1,28140
MP2_KOMCHEN,1,28743
MP3_PREDECO,1,27409
MP4_CONTENEDORES,1,26741
OBSERVATORIO,1,28188
P1_CELEST_N,1,28004
P2_CHUNCHUCMIL,1,27581
P3_AMARIS_II,1,28000
P4_NOHUAYUN,1,28265
P5_SISAL,1,27385
P6_TAMCHEN,1,28750
RM_10_SAGARPA,1,28748
RM_16_RANCHO,1,28139
RM_17_DZIDZILCHE,1,27464
RM_19_CRIO,1,28063
RM_20_BAAG,1,27271
RM01_DEPORTIVO_SUR,1,28849
RM02_OBERVATORIO,1,28744
RM03_ACUAPARQUE,1,28746
RM04_BOMBEROS,1,28198
RM05_PORTES_GIL,1,28746
RM06_CHALMUCH,1,28189
RM07_ANICABIL,1,28189
RM08_CHENKU,1,28191
RM09_TECNOLOGICO,1,28191
RM11UCU,1,27975
RM12CHEUMAN,1,28187
RM13TIXCUYTUN,1,28167
RM14MEGALITA,1,28168
RM15SIERRA_PAPACAL,1,28139
RM18_SAC_NICTE,1,27773
