0,1,2,layer
0,379711.85077777744,2391545.612055556,0
1,380551.9479999997,2391545.612055556,0
2,378871.7535555552,2390897.8176111113,0
3,378031.65633333294,2390250.0231666667,0
4,378871.7535555552,2390250.0231666667,0
5,379711.85077777744,2390897.8176111113,0
6,380551.9479999997,2390897.8176111113,0
7,379711.85077777744,2390250.0231666667,0
8,380551.9479999997,2390250.0231666667,0
9,381392.0452222218,2391545.612055556,0
10,382232.14244444406,2391545.612055556,0
11,383072.2396666663,2391545.612055556,0
12,383912.33688888856,2391545.612055556,0
13,381392.0452222218,2390897.8176111113,0
14,382232.14244444406,2390897.8176111113,0
15,381392.0452222218,2390250.0231666667,0
16,382232.14244444406,2390250.0231666667,0
17,383072.2396666663,2390897.8176111113,0
18,383912.33688888856,2390897.8176111113,0
19,383072.2396666663,2390250.0231666667,0
20,383912.33688888856,2390250.0231666667,0
21,384752.4341111107,2391545.612055556,0
22,385592.53133333294,2391545.612055556,0
23,384752.4341111107,2390897.8176111113,0
24,385592.53133333294,2390897.8176111113,0
25,384752.4341111107,2390250.0231666667,0
26,385592.53133333294,2390250.0231666667,0
27,386432.6285555552,2390897.8176111113,0
28,387272.72577777744,2390897.8176111113,0
29,386432.6285555552,2390250.0231666667,0
30,387272.72577777744,2390250.0231666667,0
31,388112.82299999957,2390897.8176111113,0
32,388112.82299999957,2390250.0231666667,0
33,388952.9202222218,2390250.0231666667,0
34,389793.01744444406,2390250.0231666667,0
35,390633.1146666663,2390250.0231666667,0
36,391473.21188888844,2390250.0231666667,0
37,392313.3091111107,2390250.0231666667,0
38,393153.40633333294,2390250.0231666667,0
39,393993.5035555552,2390250.0231666667,0
40,394833.6007777773,2390250.0231666667,0
41,395673.69799999957,2390250.0231666667,0
42,396513.7952222218,2390250.0231666667,0
43,397353.89244444406,2390250.0231666667,0
44,398193.9896666662,2390250.0231666667,0
45,399034.08688888844,2390250.0231666667,0
46,399874.1841111107,2390250.0231666667,0
47,400714.28133333294,2390250.0231666667,0
48,373831.17022222193,2388306.6398333334,0
49,372991.0729999997,2387658.845388889,0
50,373831.17022222193,2387658.845388889,0
51,375511.3646666663,2388954.434277778,0
52,376351.46188888856,2389602.2287222226,0
53,377191.5591111108,2389602.2287222226,0
54,376351.46188888856,2388954.434277778,0
55,377191.5591111108,2388954.434277778,0
56,374671.26744444406,2388306.6398333334,0
57,375511.3646666663,2388306.6398333334,0
58,374671.26744444406,2387658.845388889,0
59,375511.3646666663,2387658.845388889,0
60,376351.46188888856,2388306.6398333334,0
61,377191.5591111108,2388306.6398333334,0
62,376351.46188888856,2387658.845388889,0
63,377191.5591111108,2387658.845388889,0
64,378031.65633333294,2389602.2287222226,0
65,378871.7535555552,2389602.2287222226,0
66,378031.65633333294,2388954.434277778,0
67,378871.7535555552,2388954.434277778,0
68,379711.85077777744,2389602.2287222226,0
69,380551.9479999997,2389602.2287222226,0
70,379711.85077777744,2388954.434277778,0
71,380551.9479999997,2388954.434277778,0
72,378031.65633333294,2388306.6398333334,0
73,378871.7535555552,2388306.6398333334,0
74,378031.65633333294,2387658.845388889,0
75,378871.7535555552,2387658.845388889,0
76,379711.85077777744,2388306.6398333334,0
77,380551.9479999997,2388306.6398333334,0
78,379711.85077777744,2387658.845388889,0
79,380551.9479999997,2387658.845388889,0
80,381392.0452222218,2389602.2287222226,0
81,382232.14244444406,2389602.2287222226,0
