time,elapsed_seconds,message
00:40:21,3.56e-05,PEST++ performance logger started
00:40:21,0.0011685,starting to process control file
00:40:21,0.0108017,finished processing control file
00:40:21,0.0033953,starting basic model IO error checking
00:40:21,0.0011767,finished basic model IO error checking
00:40:21,0.0002956,loading parcov
00:40:21,0.0016593,beginning iteration 1
00:40:21,0.0001189,commencing to build jacobian parameter sets
00:40:21,0.0037131,jacobian parameter sets built, commencing model runs
00:53:11,769.657,jacobian runs complete, processing runs
00:53:11,0.0003931,processing jacobian runs complete
00:53:11,2.35e-05,saving jacobian and sen files
00:53:11,0.0014714,commencing calculation of upgrade vector
00:53:11,0.0004403,forming JtQJ matrix
00:53:11,8.24e-05,commencing to scale JtQJ matrix- first SVD...
00:53:11,1.36e-05,starting REDSVD
00:53:11,5.61e-05,retrieving REDSVD components
00:53:11,1.18e-05,trimming REDSVD components to 8elements
00:53:11,9.7e-06,done REDSVD
00:53:11,2.09e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,5.5e-06,JS
00:53:11,2.66e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:53:11,6.32e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,6.5e-06,commencing SVD factorization of lambda-scaled JtQJ
00:53:11,6.5e-06,starting REDSVD
00:53:11,2.77e-05,retrieving REDSVD components
00:53:11,8.7e-06,trimming REDSVD components to 8elements
00:53:11,6.4e-06,done REDSVD
00:53:11,5.3e-06,SVD factorization complete
00:53:11,0.0002753,commencing linear algebra multiplication to compute upgrade
00:53:11,9.3e-06,S info: rows = 9: cols = 9: size = 81: nonzeros = 9Vt info: rows = 8: cols = 9: size = 72: nonzeros = 72
00:53:11,6.7e-06,U info: rows = 9: cols = 8: size = 72: nonzeros = 72
00:53:11,6e-06,jac info: rows = 156: cols = 9: size = 1404: nonzeros = 1306
00:53:11,7.77e-05,linear algebra multiplication to compute upgrade complete
00:53:11,2.07e-05,commencing check of parameter bounds and gradients
00:53:11,0.0008147,beginning upgrade vector calculations, lambda = 0.1
00:53:11,0.0001013,commencing calculation of upgrade vector
00:53:11,0.0004777,forming JtQJ matrix
00:53:11,6.32e-05,commencing to scale JtQJ matrix- first SVD...
00:53:11,8.1e-06,starting REDSVD
00:53:11,2.88e-05,retrieving REDSVD components
00:53:11,8.6e-06,trimming REDSVD components to 8elements
00:53:11,6.8e-06,done REDSVD
00:53:11,1.53e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,5.6e-06,JS
00:53:11,3.07e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:53:11,6.43e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,6.5e-06,commencing SVD factorization of lambda-scaled JtQJ
00:53:11,5.1e-06,starting REDSVD
00:53:11,2.64e-05,retrieving REDSVD components
00:53:11,7.9e-06,trimming REDSVD components to 9elements
00:53:11,8.9e-06,done REDSVD
00:53:11,5.2e-06,SVD factorization complete
00:53:11,0.000116,commencing linear algebra multiplication to compute upgrade
00:53:11,6.7e-06,S info: rows = 9: cols = 9: size = 81: nonzeros = 9Vt info: rows = 9: cols = 9: size = 81: nonzeros = 81
00:53:11,6.1e-06,U info: rows = 9: cols = 9: size = 81: nonzeros = 81
00:53:11,5.8e-06,jac info: rows = 156: cols = 9: size = 1404: nonzeros = 1306
00:53:11,5.65e-05,linear algebra multiplication to compute upgrade complete
00:53:11,1.75e-05,commencing check of parameter bounds and gradients
00:53:11,8.6e-06,commencing calculation of upgrade vector
00:53:11,0.0003238,forming JtQJ matrix
00:53:11,7.15e-05,commencing to scale JtQJ matrix- first SVD...
00:53:11,7e-06,starting REDSVD
00:53:11,2.42e-05,retrieving REDSVD components
00:53:11,8.1e-06,trimming REDSVD components to 8elements
00:53:11,6.3e-06,done REDSVD
00:53:11,1.15e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,4.9e-06,JS
00:53:11,2.87e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:53:11,5.66e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,6.1e-06,commencing SVD factorization of lambda-scaled JtQJ
00:53:11,3.96e-05,starting REDSVD
00:53:11,3.11e-05,retrieving REDSVD components
00:53:11,9e-06,trimming REDSVD components to 9elements
00:53:11,7.2e-06,done REDSVD
00:53:11,5.3e-06,SVD factorization complete
00:53:11,0.0001611,commencing linear algebra multiplication to compute upgrade
00:53:11,8.9e-06,S info: rows = 9: cols = 9: size = 81: nonzeros = 9Vt info: rows = 9: cols = 9: size = 81: nonzeros = 81
00:53:11,6.4e-06,U info: rows = 9: cols = 9: size = 81: nonzeros = 81
00:53:11,5.9e-06,jac info: rows = 156: cols = 9: size = 1404: nonzeros = 1306
00:53:11,6.07e-05,linear algebra multiplication to compute upgrade complete
00:53:11,1.87e-05,commencing check of parameter bounds
00:53:11,7e-06,limiting out of bounds pars
00:53:11,1.58e-05,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
00:53:11,5.3e-06,checking for denormal floating point values
00:53:11,5.6e-06,transforming upgrade pars to model pars
00:53:11,5.6e-06,writing upgrade vector to csv file
00:53:11,0.0003779,beginning upgrade vector calculations, lambda = 1
00:53:11,0.0001059,commencing calculation of upgrade vector
00:53:11,0.0004018,forming JtQJ matrix
00:53:11,6.79e-05,commencing to scale JtQJ matrix- first SVD...
00:53:11,8.3e-06,starting REDSVD
00:53:11,2.72e-05,retrieving REDSVD components
00:53:11,8.4e-06,trimming REDSVD components to 8elements
00:53:11,6.7e-06,done REDSVD
00:53:11,1.23e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,5e-06,JS
00:53:11,2.91e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:53:11,6.01e-05,S info: rows = 9: cols = 9: size = 81: nonzeros = 9
00:53:11,6.5e-06,commencing SVD factorization of lambda-scaled JtQJ
00:53:11,4.8e-06,starting REDSVD
00:53:11,2.6e-05,retrieving REDSVD components
00:53:11,7.6e-06,trimming REDSVD components to 9elements
00:53:11,7.1e-06,done REDSVD
00:53:11,4.9e-06,SVD factorization complete
