parnme,mu_star,mu,sigma,mu_star_conf
mk_rest_l2,4.676845251124771,-4.5818710209538445,4.686653022286805,2.1260845235142987
mr_rest,3.770923307969851,3.393233289779692,4.678678010639668,2.06924509065652
mr_upland,0.9695918091627438,0.7969531577732949,0.9487817315831469,0.38683708905563374
mk_rest_l1,0.6042825861230132,-0.5900299958275543,0.9351989569944421,0.5002396152624151
mfgw_rest,0.4052192941083852,-0.39448064266036453,0.8175565340947196,0.3749540930035867
mk_upland_l2,0.1560436655135296,0.15133306714494127,0.28167738277203674,0.149246662961368
mk_upland_l1,0.04639230072943703,0.045470085223642244,0.08837339286353475,0.03904956456832858
mk_ring_l2,0.04360515181974252,-0.037312831425728055,0.05925397346651859,0.028372369715364058
mk_ring_l1,0.01648850924420576,-0.015409907644726224,0.032727810797258755,0.016118434107725198
mfgw_upland,0.000759445610062099,-0.0007486608493070292,0.00161875477820849,0.0007208838723996436
