parnme,mu_star,mu,sigma,mu_star_conf
mr_rest,0.02337555850101669,-0.02337555850101669,0.007788384580158083,0.003414525197897733
mr_upland,0.002630617685299916,-0.002630617685299916,0.0012770724324724688,0.0006306575045638302
mk_rest_l2,0.0016112405911235562,-0.0016112405911235562,0.0020592189569897377,0.0009043386484786364
mfgw_rest,0.0011676224573332304,0.0011676224573332304,0.0009910271747048235,0.00047738226831511144
mk_rest_l1,0.00026983057711698136,-0.00017124954383586702,0.0005471835268509327,0.0002532007266868249
mk_ring_l2,0.00022210641451480065,0.00022210641451480065,0.00020399992603013493,9.836191089712844e-05
mk_ring_l1,4.578319613656595e-05,4.578319613656595e-05,4.725145443112788e-05,2.4034115212086173e-05
mk_upland_l2,1.1162916616541674e-05,4.750184718425865e-06,1.5723949932518373e-05,5.4478742706545515e-06
mk_upland_l1,3.7161644890378043e-06,1.0628795961732662e-06,6.290861622111954e-06,2.248813259050096e-06
mfgw_upland,1.2456555985793094e-06,1.0961723825586578e-06,1.4723012039848178e-06,6.144284784925775e-07
