name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0,0.249925,-0.49985,0.49985
mfgw_upland,0,0.25,-0.5,0.5,0,0.25,-0.5,0.5
mk_rest_l1,0,0.325257,-0.650515,0.650515,0,0.325102,-0.650205,0.650205
mk_rest_l2,0,0.325257,-0.650515,0.650515,0,0.205645,-0.411291,0.411291
mk_ring_l1,0,0.325257,-0.650515,0.650515,0,0.325257,-0.650513,0.650513
mk_ring_l2,0,0.25,-0.5,0.5,0,0.249982,-0.499963,0.499963
mk_upland_l1,0,0.305462,-0.610924,0.610924,0,0.305453,-0.610905,0.610905
mk_upland_l2,0,0.305462,-0.610924,0.610924,0,0.305123,-0.610245,0.610245
mr_rest,0,0.238561,-0.477121,0.477121,0,0.179289,-0.358577,0.358577
mr_upland,0,0.238561,-0.477121,0.477121,0,0.230201,-0.460402,0.460402
