time,elapsed_seconds,message
10:41:07,5.57e-05,PEST++ performance logger started
10:41:07,0.0008506,starting to process control file
10:41:07,0.0099961,finished processing control file
10:41:07,0.0052007,starting basic model IO error checking
10:41:07,0.0010486,finished basic model IO error checking
10:41:07,0.0001861,loading parcov
10:41:07,0.0018682,beginning iteration 1
10:41:07,9.06e-05,commencing to build jacobian parameter sets
10:41:07,0.0017949,jacobian parameter sets built, commencing model runs
10:55:40,873.588,jacobian runs complete, processing runs
10:55:40,0.0004596,processing jacobian runs complete
10:55:40,2.2e-05,saving jacobian and sen files
10:55:40,0.0016604,commencing calculation of upgrade vector
10:55:40,0.0004456,forming JtQJ matrix
10:55:40,7.99e-05,commencing to scale JtQJ matrix- first SVD...
10:55:40,1.45e-05,starting REDSVD
10:55:40,7.01e-05,retrieving REDSVD components
10:55:40,1.33e-05,trimming REDSVD components to 8elements
10:55:40,9.9e-06,done REDSVD
10:55:40,2.32e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
10:55:40,5.9e-06,JS
10:55:40,2.91e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:55:40,6.65e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
10:55:40,6.7e-06,commencing SVD factorization of lambda-scaled JtQJ
10:55:40,6.5e-06,starting REDSVD
10:55:40,3.11e-05,retrieving REDSVD components
10:55:40,8.7e-06,trimming REDSVD components to 8elements
10:55:40,7e-06,done REDSVD
10:55:40,5.6e-06,SVD factorization complete
10:55:40,0.0003031,commencing linear algebra multiplication to compute upgrade
10:55:40,1e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10Vt info: rows = 8: cols = 10: size = 80: nonzeros = 80
10:55:40,7.2e-06,U info: rows = 10: cols = 8: size = 80: nonzeros = 80
10:55:40,6.3e-06,jac info: rows = 156: cols = 10: size = 1560: nonzeros = 1438
10:55:40,8.07e-05,linear algebra multiplication to compute upgrade complete
10:55:40,2.71e-05,commencing check of parameter bounds and gradients
10:55:40,0.000812,beginning upgrade vector calculations, lambda = 0.1
10:55:40,9.56e-05,commencing calculation of upgrade vector
10:55:40,0.0003448,forming JtQJ matrix
10:55:40,7.19e-05,commencing to scale JtQJ matrix- first SVD...
10:55:40,7e-06,starting REDSVD
10:55:40,3.83e-05,retrieving REDSVD components
10:55:40,1.23e-05,trimming REDSVD components to 8elements
10:55:40,7.9e-06,done REDSVD
10:55:40,1.45e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
10:55:40,4.8e-06,JS
10:55:40,2.83e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:55:40,6.64e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
10:55:40,6.5e-06,commencing SVD factorization of lambda-scaled JtQJ
10:55:40,4.9e-06,starting REDSVD
10:55:40,3.24e-05,retrieving REDSVD components
10:55:40,8.9e-06,trimming REDSVD components to 9elements
10:55:40,9.2e-06,done REDSVD
10:55:40,5.8e-06,SVD factorization complete
10:55:40,0.0001255,commencing linear algebra multiplication to compute upgrade
10:55:40,6.6e-06,S info: rows = 10: cols = 10: size = 100: nonzeros = 10Vt info: rows = 9: cols = 10: size = 90: nonzeros = 90
10:55:40,6.2e-06,U info: rows = 10: cols = 9: size = 90: nonzeros = 90
10:55:40,6e-06,jac info: rows = 156: cols = 10: size = 1560: nonzeros = 1438
10:55:40,5.88e-05,linear algebra multiplication to compute upgrade complete
10:55:40,1.92e-05,commencing check of parameter bounds and gradients
10:55:40,8.3e-06,commencing calculation of upgrade vector
