name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.221849,0.249932,-0.278014,0.721712
mfgw_upland,0,0.25,-0.5,0.5,-0.080614,0.25,-0.580614,0.419386
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.923385,0.325191,-1.57377,-0.273003
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.261665,0.21458,-0.167495,0.690826
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.137512,0.325256,-0.788024,0.512999
mk_ring_l2,0,0.25,-0.5,0.5,-0.27024,0.249972,-0.770185,0.229704
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.272681,0.305459,-0.883599,0.338238
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.509171,0.305422,-1.12001,0.101673
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.181127,-0.106982,0.617527
mr_upland,0,0.238561,-0.477121,0.477121,-0.69897,0.238251,-1.17547,-0.222468
