iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.999905,0.111111,0.246271,0.955227,0.951847,0.45449,0.3,1.8,0.2
0,0,0.1,0.75,1.46685,0.999929,0.19245,0.349591,0.966229,0.963664,0.553532,0.40536,1.55401,0.29907
0,0,0.1,1.1,1.66667,0.999896,0.111111,0.21407,0.950862,0.947162,0.420026,0.3,1.8,0.2
0,0,1,1,1.66667,0.999965,0.699066,2.22222,0.99012,0.980843,0.894987,0.507225,1.8,0.2
0,0,1,0.75,1.46685,0.999974,0.76452,1.82008,0.992581,0.985597,0.920158,0.601036,1.55401,0.29907
0,0,1,1.1,1.66667,0.999962,0.674482,2.22222,0.989137,0.978947,0.885112,0.473937,1.8,0.2
0,0,10,1,1.04812,1,0.956858,1.46446,0.998793,0.999445,0.983396,0.908057,1.61818,0.446713
0,0,10,0.75,1.03588,1,0.967466,1.33125,0.999094,0.999584,0.987521,0.930218,1.43473,0.546413
0,0,10,1.1,1.05306,1,0.952648,1.52141,0.998672,0.99939,0.981751,0.899341,1.69796,0.412127
0,0,100,1,1.0049,1,0.996253,1.0756,0.999924,1.00038,0.998086,0.989202,1.03041,0.903686
0,0,100,0.75,1.00367,1,0.997188,1.05618,0.999943,1.00029,0.998564,0.99189,1.02273,0.926858
0,0,100,1.1,1.00539,1,0.995879,1.08347,0.999916,1.00042,0.997895,0.988128,1.03351,0.89458
0,0,1000,1,1.00068,1,0.999997,1.01818,1.00001,1.0002,0.999781,0.998783,0.991406,0.986787
0,0,1000,0.75,1.00051,1,0.999998,1.0136,1.00001,1.00015,0.999836,0.999087,0.993548,0.990073
0,0,1000,1.1,1.00075,1,0.999997,1.02001,1.00001,1.00022,0.999759,0.998661,0.990551,0.985475
1,0,0.1,1,1.66667,0.780754,0.111111,2.22222,0.640721,0.488853,0.478849,0.3,1.8,0.2
1,0,0.1,0.75,1.48419,0.830589,0.19034,2.00221,0.71593,0.584553,0.573232,0.395703,1.75271,0.2445
1,0,0.1,1.1,1.66667,0.761668,0.111111,2.22222,0.612899,0.455114,0.4456,0.3,1.8,0.2
1,0,1,1,1.54315,0.959721,0.480281,2.22222,0.920794,0.911226,0.859101,0.416577,1.8,0.2
1,0,1,0.75,1.40091,0.969637,0.570603,2.00221,0.939703,0.932522,0.888618,0.506174,1.75271,0.2445
1,0,1,1.1,1.60401,0.955784,0.448292,2.22222,0.913337,0.902844,0.84757,0.385349,1.8,0.2
1,0,10,1,1.08863,0.995256,0.887982,1.77693,0.989414,0.990738,0.967523,0.827952,1.78552,0.329569
1,0,10,0.75,1.07836,0.99644,0.904722,1.69306,0.99175,0.992908,0.971467,0.84729,1.74213,0.355604
1,0,10,1.1,1.09276,0.994783,0.881373,1.81163,0.988481,0.989872,0.965949,0.820341,1.8,0.319696
1,0,100,1,1.05253,0.999475,0.950543,1.54392,0.997849,0.999076,0.981688,0.899182,1.5722,0.431798
1,0,100,0.75,1.05143,0.999607,0.952118,1.52366,0.998085,0.999169,0.982115,0.901392,1.58357,0.435479
1,0,100,1.1,1.05297,0.999422,0.949914,1.55209,0.997755,0.999039,0.981517,0.898299,1.56768,0.430334
