seg_id,qlo_mpd,qhi_mpd,obsval,uncertainty,weight,length_m
1,1,2.5,1.75,0.75,0.2614879999,4396.86515
2,1,2.5,1.75,0.75,0.2614879999,8599.128059
3,2.6,4.3,3.45,0.85,0.2307247058,10064.93498
4,1,4.3,2.65,1.65,0.1188581818,13700.13698
5,1,4.3,2.65,1.65,0.1188581818,12520.85895
6,2.6,5.3,3.95,1.35,0.1452711111,16473.63053
7,2.6,6.6,4.6,2,0.098058,20038.82045
8,2.6,6.6,4.6,2,0.098058,17255.3341
9,1,4.3,2.65,1.65,0.1188581818,19219.1221
10,1,2.5,1.75,0.75,0.2614879999,17060.3447
11,1,2.5,1.75,0.75,0.2614879999,18969.4281
12,6.7,8.1,7.4,0.7,0.2801657144,20652.0228
13,6.7,8.1,7.4,0.7,0.2801657144,15283.3646
14,8.2,9.4,8.8,0.6,0.3268600001,11824.0323
15,6.7,9.4,8.05,1.35,0.1452711111,11570.3239
16,9.5,12.5,11,1.5,0.130744,15990.0756
17,10.5,15.2,12.85,2.35,0.08345361702,16454.9008
18,12.6,15.2,13.9,1.3,0.1508584615,16507.9369
19,15.3,18.3,16.8,1.5,0.130744,13450.4332
20,8.2,9.4,8.8,0.6,0.3268600001,13374.1753
21,8.2,9.4,8.8,0.6,0.3268600001,10563.8025
22,1,15.2,8.1,7.1,0.02762197183,223637.7595
