name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.221849,0.249987,-0.278125,0.721822
mfgw_upland,0,0.25,-0.5,0.5,0,0.25,-0.5,0.5
mk_rest_l1,0,0.325257,-0.650515,0.650515,0.346787,0.325067,-0.303346,0.996921
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.346787,0.214857,-0.0829266,0.776502
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.322552,0.325256,-0.973064,0.327961
mk_ring_l2,0,0.25,-0.5,0.5,0.0457575,0.249984,-0.454211,0.545726
mk_upland_l1,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mk_upland_l2,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.182063,-0.108854,0.619399
mr_upland,0,0.238561,-0.477121,0.477121,0,0.238561,-0.477121,0.477121
