time,elapsed_seconds,message
20:56:56,6.87e-05,PEST++ performance logger started
20:56:56,0.0008184,starting to process control file
20:56:56,0.000786,finished processing control file
20:56:56,0.0030721,starting basic model IO error checking
20:56:56,0.0024618,finished basic model IO error checking
20:56:56,0.0001756,loading parcov
20:56:56,0.0019102,beginning iteration 1
20:56:56,0.0001009,commencing to build jacobian parameter sets
20:56:56,0.0014091,jacobian parameter sets built, commencing model runs
21:22:25,1528.9,jacobian runs complete, processing runs
21:22:25,0.0020012,processing jacobian runs complete
21:22:25,1.58e-05,saving jacobian and sen files
21:22:25,0.0023693,commencing calculation of upgrade vector
21:22:25,0.0002656,forming JtQJ matrix
21:22:25,3.36e-05,commencing to scale JtQJ matrix- first SVD...
21:22:25,0.0001664,starting REDSVD
21:22:25,0.0004748,retrieving REDSVD components
21:22:25,0.0001733,trimming REDSVD components to 5elements
21:22:25,1.76e-05,done REDSVD
21:22:25,2.06e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,5.9e-06,JS
21:22:25,1.15e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:22:25,2.93e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,5.5e-06,commencing SVD factorization of lambda-scaled JtQJ
21:22:25,6.4e-06,starting REDSVD
21:22:25,2.38e-05,retrieving REDSVD components
21:22:25,8.1e-06,trimming REDSVD components to 6elements
21:22:25,6.5e-06,done REDSVD
21:22:25,5e-06,SVD factorization complete
21:22:25,0.000129,commencing linear algebra multiplication to compute upgrade
21:22:25,7.2e-06,S info: rows = 10: cols = 10: size = 100: nonzeros = 6Vt info: rows = 6: cols = 10: size = 60: nonzeros = 36
21:22:25,6.2e-06,U info: rows = 10: cols = 6: size = 60: nonzeros = 36
21:22:25,5.8e-06,jac info: rows = 135: cols = 10: size = 1350: nonzeros = 726
21:22:25,5.33e-05,linear algebra multiplication to compute upgrade complete
21:22:25,2.14e-05,commencing check of parameter bounds and gradients
21:22:25,0.0008486,beginning upgrade vector calculations, lambda = 0.1
21:22:25,9.41e-05,commencing calculation of upgrade vector
21:22:25,0.0003405,forming JtQJ matrix
21:22:25,4.05e-05,commencing to scale JtQJ matrix- first SVD...
21:22:25,9.7e-06,starting REDSVD
21:22:25,3.6e-05,retrieving REDSVD components
21:22:25,1.41e-05,trimming REDSVD components to 5elements
21:22:25,1.04e-05,done REDSVD
21:22:25,1.82e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,8.4e-06,JS
21:22:25,1.66e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:22:25,4.43e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,9.8e-06,commencing SVD factorization of lambda-scaled JtQJ
21:22:25,8.1e-06,starting REDSVD
21:22:25,4.23e-05,retrieving REDSVD components
21:22:25,1.35e-05,trimming REDSVD components to 6elements
21:22:25,1.21e-05,done REDSVD
21:22:25,9.4e-06,SVD factorization complete
21:22:25,0.0001645,commencing linear algebra multiplication to compute upgrade
21:22:25,1.09e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6Vt info: rows = 6: cols = 10: size = 60: nonzeros = 36
21:22:25,1.04e-05,U info: rows = 10: cols = 6: size = 60: nonzeros = 36
21:22:25,1e-05,jac info: rows = 135: cols = 10: size = 1350: nonzeros = 726
21:22:25,5.84e-05,linear algebra multiplication to compute upgrade complete
21:22:25,2.87e-05,commencing check of parameter bounds and gradients
21:22:25,1.41e-05,commencing calculation of upgrade vector
21:22:25,0.0003117,forming JtQJ matrix
21:22:25,3.87e-05,commencing to scale JtQJ matrix- first SVD...
21:22:25,9.2e-06,starting REDSVD
21:22:25,3.03e-05,retrieving REDSVD components
21:22:25,1.26e-05,trimming REDSVD components to 5elements
21:22:25,1.15e-05,done REDSVD
21:22:25,1.67e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,8.3e-06,JS
21:22:25,1.66e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:22:25,4.39e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,9.7e-06,commencing SVD factorization of lambda-scaled JtQJ
21:22:25,5.09e-05,starting REDSVD
21:22:25,3.83e-05,retrieving REDSVD components
21:22:25,1.43e-05,trimming REDSVD components to 6elements
21:22:25,1.01e-05,done REDSVD
21:22:25,8.5e-06,SVD factorization complete
21:22:25,0.000211,commencing linear algebra multiplication to compute upgrade
21:22:25,1.43e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6Vt info: rows = 6: cols = 10: size = 60: nonzeros = 36
21:22:25,1.05e-05,U info: rows = 10: cols = 6: size = 60: nonzeros = 36
21:22:25,1.03e-05,jac info: rows = 135: cols = 10: size = 1350: nonzeros = 726
21:22:25,6.56e-05,linear algebra multiplication to compute upgrade complete
21:22:25,2.73e-05,commencing check of parameter bounds
21:22:25,1.12e-05,limiting out of bounds pars
21:22:25,0.0002264,change limit/bound enforcement for lambda 0.1: , scaling factor: 1
21:22:25,1.53e-05,checking for denormal floating point values
21:22:25,7.9e-06,transforming upgrade pars to model pars
21:22:25,6.6e-06,writing upgrade vector to csv file
21:22:25,0.0003302,beginning upgrade vector calculations, lambda = 1
21:22:25,8.46e-05,commencing calculation of upgrade vector
21:22:25,0.0002761,forming JtQJ matrix
21:22:25,3.69e-05,commencing to scale JtQJ matrix- first SVD...
21:22:25,7.9e-06,starting REDSVD
21:22:25,2.88e-05,retrieving REDSVD components
21:22:25,1.1e-05,trimming REDSVD components to 5elements
21:22:25,8.1e-06,done REDSVD
21:22:25,1.44e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,6.2e-06,JS
21:22:25,1.35e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:22:25,3.7e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,6.9e-06,commencing SVD factorization of lambda-scaled JtQJ
21:22:25,5.9e-06,starting REDSVD
21:22:25,2.82e-05,retrieving REDSVD components
21:22:25,9.4e-06,trimming REDSVD components to 6elements
21:22:25,8.5e-06,done REDSVD
21:22:25,7e-06,SVD factorization complete
21:22:25,0.0001188,commencing linear algebra multiplication to compute upgrade
21:22:25,8.1e-06,S info: rows = 10: cols = 10: size = 100: nonzeros = 6Vt info: rows = 6: cols = 10: size = 60: nonzeros = 36
21:22:25,7.5e-06,U info: rows = 10: cols = 6: size = 60: nonzeros = 36
21:22:25,7.2e-06,jac info: rows = 135: cols = 10: size = 1350: nonzeros = 726
21:22:25,5.07e-05,linear algebra multiplication to compute upgrade complete
21:22:25,2.29e-05,commencing check of parameter bounds and gradients
21:22:25,9.6e-06,commencing calculation of upgrade vector
21:22:25,0.0002485,forming JtQJ matrix
21:22:25,3.29e-05,commencing to scale JtQJ matrix- first SVD...
21:22:25,6.8e-06,starting REDSVD
21:22:25,2.53e-05,retrieving REDSVD components
21:22:25,9.8e-06,trimming REDSVD components to 5elements
21:22:25,8.6e-06,done REDSVD
21:22:25,1.31e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,6e-06,JS
21:22:25,1.36e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:22:25,3.56e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 6
21:22:25,5.5e-06,commencing SVD factorization of lambda-scaled JtQJ
21:22:25,4.8e-06,starting REDSVD
21:22:25,2.19e-05,retrieving REDSVD components
21:22:25,7.3e-06,trimming REDSVD components to 6elements
21:22:25,5.9e-06,done REDSVD
21:22:25,4.9e-06,SVD factorization complete
