name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.22185,0.249985,-0.27812,0.721819
mfgw_upland,0,0.25,-0.5,0.5,0,0.25,-0.5,0.5
mk_rest_l1,0,0.325257,-0.650515,0.650515,0.346787,0.325074,-0.30336,0.996934
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.333063,0.21221,-0.091357,0.757482
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.322552,0.325256,-0.973065,0.327961
mk_ring_l2,0,0.25,-0.5,0.5,0.0457575,0.249985,-0.454212,0.545727
mk_upland_l1,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mk_upland_l2,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.18348,-0.111687,0.622232
mr_upland,0,0.238561,-0.477121,0.477121,0,0.238561,-0.477121,0.477121
