obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,4372
w_1B_SAN_EDUARDO,1,6462
w_1C_QUINTA_ROSARIO,1,7678
w_2A_DZILAM_BRAVO,1,3197
w_2B_DZILAM_GLEZ,1,5167
w_2C_SAN_GREGORIO,1,6923
w_3A_SAN_FELIPE,1,319
w_3B_SANTA_PILAR,1,1454
w_3C_SAN_ISIDRO,1,3070
w_4A_LA_CURVA,1,1121
w_4B_MOCTEZUMA,1,2582
w_4C_VISTA_HERMOSA,1,5132
ASM_01,1,12629
ASM_02,1,10851
ASM_03,1,10115
ASM_04,1,10092
ASM_05,1,8814
ASM_06,1,9355
ASM_07,1,8238
ASM_08,1,6893
ASM_09,1,5806
ASM_10,1,5141
ASM_11,1,5144
ASM_12,1,6901
ASM_13,1,8240
ASM_14,1,8241
ASM_15,1,9387
ASM_16,1,10128
ASM_17,1,8244
ASM_18,1,6453
ASM_19,1,5813
ASM_20,1,4361
ASM_22,1,12160
ASM_23,1,12650
ASM_24,1,13794
ASM_25,1,14865
ASM_27,1,16089
ASM_28,1,16087
ASM_30,1,14862
ASM_32,1,15690
ASM_33,1,14860
ASM_34,1,14860
ASM_35,1,14859
ASM_36,1,14247
ASM_37,1,14245
ASM_40,1,10847
ASM_41,1,11563
ASM_42,1,10089
ASM_43,1,9355
ASM_44,1,12606
ASM_45,1,13770
ASM_46,1,13210
ASO_1,1,20118
ASO_10,1,22180
ASO_12,1,21910
ASO_13,1,21951
ASO_14,1,23376
ASO_15,1,24621
ASO_16,1,24674
ASO_17,1,23914
ASO_18,1,22228
ASO_19,1,24009
ASO_2,1,21807
ASO_21,1,25623
ASO_22,1,20857
ASO_23,1,21990
ASO_3,1,20122
ASO_37,1,22180
ASO_38,1,22554
ASO_39,1,21810
ASO_4,1,21442
ASO_5,1,22553
ASO_6,1,20838
ASO_7,1,22174
ASO_8,1,19633
ASO_9,1,21527
B1_BACA,1,9422
B2_MOTUL,1,8852
B3_SACAPUC,1,7675
B4_TIMUL,1,7335
CONAGUA,1,12152
CU01,1,14266
CU02,1,13180
CU03,1,13212
CU04,1,13181
CU05,1,12644
CU06,1,12605
CU07,1,12125
CU08,1,11570
CU09,1,11577
CU10,1,12156
CU11,1,11562
CU12,1,10089
CU13,1,10126
CU14,1,9407
CU15,1,8238
CU16,1,8236
CU17,1,7665
CU18,1,14245
CU19,1,14245
CU20,1,14245
MI1_SIGLO_XX1,1,9420
MI2_THO_O,1,8246
MI3_HACIENDA_X_LUCH,1,7333
MP1_FIUADY,1,10850
MP2_KOMCHEN,1,8814
MP3_PREDECO,1,7327
MP4_CONTENEDORES,1,6450
OBSERVATORIO,1,13180
P1_CELEST_N,1,15097
P2_CHUNCHUCMIL,1,19138
P3_AMARIS_II,1,14836
P4_NOHUAYUN,1,12598
P5_SISAL,1,8229
P6_TAMCHEN,1,14851
RM_10_SAGARPA,1,12156
RM_16_RANCHO,1,8237
RM_17_DZIDZILCHE,1,7665
RM_19_CRIO,1,7330
RM_20_BAAG,1,6453
RM01_DEPORTIVO_SUR,1,14266
RM02_OBERVATORIO,1,13180
RM03_ACUAPARQUE,1,13212
RM04_BOMBEROS,1,12599
RM05_PORTES_GIL,1,12644
RM06_CHALMUCH,1,12605
RM07_ANICABIL,1,12125
RM08_CHENKU,1,11570
RM09_TECNOLOGICO,1,11577
RM11UCU,1,11562
RM12CHEUMAN,1,10089
RM13TIXCUYTUN,1,10124
RM14MEGALITA,1,9407
RM15SIERRA_PAPACAL,1,8238
RM18_SAC_NICTE,1,8242
