obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,21979
w_1B_SAN_EDUARDO,1,29697
w_1C_QUINTA_ROSARIO,1,35734
w_2A_DZILAM_BRAVO,1,17321
w_2B_DZILAM_GLEZ,1,23678
w_2C_SAN_GREGORIO,1,32919
w_3A_SAN_FELIPE,1,3731
w_3B_SANTA_PILAR,1,9585
w_3C_SAN_ISIDRO,1,14918
w_4A_LA_CURVA,1,8388
w_4B_MOCTEZUMA,1,13558
w_4C_VISTA_HERMOSA,1,22879
ASM_01,1,54893
ASM_02,1,47881
ASM_03,1,45739
ASM_04,1,44690
ASM_05,1,41706
ASM_06,1,42629
ASM_07,1,39676
ASM_08,1,31508
ASM_09,1,26766
ASM_10,1,24301
ASM_11,1,22965
ASM_12,1,31687
ASM_13,1,38680
ASM_14,1,39709
ASM_15,1,42672
ASM_16,1,44735
ASM_17,1,38715
ASM_18,1,29545
ASM_19,1,27025
ASM_20,1,22995
ASM_22,1,52030
ASM_23,1,54913
ASM_24,1,57895
ASM_25,1,63756
ASM_27,1,69146
ASM_28,1,69130
ASM_30,1,64667
ASM_32,1,68225
ASM_33,1,64647
ASM_34,1,63712
ASM_35,1,62765
ASM_36,1,61752
ASM_37,1,60754
ASM_40,1,48927
ASM_41,1,49988
ASM_42,1,45712
ASM_43,1,43646
ASM_44,1,54870
ASM_45,1,57863
ASM_46,1,57884
ASO_1,1,85726
ASO_10,1,92965
ASO_12,1,90812
ASO_13,1,90820
ASO_14,1,97636
ASO_15,1,101363
ASO_16,1,101386
ASO_17,1,99103
ASO_18,1,92992
ASO_19,1,99865
ASO_2,1,91437
ASO_21,1,103808
ASO_22,1,88491
ASO_23,1,90852
ASO_3,1,86535
ASO_37,1,92963
ASO_38,1,94454
ASO_39,1,90739
ASO_4,1,90012
ASO_5,1,94452
ASO_6,1,88430
ASO_7,1,92943
ASO_8,1,84931
ASO_9,1,89315
B1_BACA,1,42731
B2_MOTUL,1,41815
B3_SACAPUC,1,36671
B4_TIMUL,1,33764
CONAGUA,1,53906
CU01,1,61763
CU02,1,56867
CU03,1,56893
CU04,1,55872
CU05,1,55885
CU06,1,54859
CU07,1,52932
CU08,1,51010
CU09,1,51018
CU10,1,52019
CU11,1,48927
CU12,1,45716
CU13,1,45759
CU14,1,42689
CU15,1,39679
CU16,1,38647
CU17,1,37598
CU18,1,60754
CU19,1,60754
CU20,1,60754
MI1_SIGLO_XX1,1,42717
MI2_THO_O,1,38732
MI3_HACIENDA_X_LUCH,1,34700
MP1_FIUADY,1,46806
MP2_KOMCHEN,1,41713
MP3_PREDECO,1,34645
MP4_CONTENEDORES,1,29440
OBSERVATORIO,1,56867
P1_CELEST_N,1,64426
P2_CHUNCHUCMIL,1,81491
P3_AMARIS_II,1,63588
P4_NOHUAYUN,1,53813
P5_SISAL,1,39580
P6_TAMCHEN,1,62697
RM_10_SAGARPA,1,52019
RM_16_RANCHO,1,39669
RM_17_DZIDZILCHE,1,37598
RM_19_CRIO,1,34678
RM_20_BAAG,1,30695
RM01_DEPORTIVO_SUR,1,61763
RM02_OBERVATORIO,1,56867
RM03_ACUAPARQUE,1,56893
RM04_BOMBEROS,1,55778
RM05_PORTES_GIL,1,55885
RM06_CHALMUCH,1,54859
RM07_ANICABIL,1,52932
RM08_CHENKU,1,51010
RM09_TECNOLOGICO,1,51018
RM11UCU,1,48927
RM12CHEUMAN,1,45717
RM13TIXCUYTUN,1,45759
RM14MEGALITA,1,42689
RM15SIERRA_PAPACAL,1,39679
RM18_SAC_NICTE,1,38696
