obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,29109
w_1B_SAN_EDUARDO,1,32168
w_1C_QUINTA_ROSARIO,1,32154
w_2A_DZILAM_BRAVO,1,29776
w_2B_DZILAM_GLEZ,1,30138
w_2C_SAN_GREGORIO,1,31326
w_3A_SAN_FELIPE,1,29795
w_3B_SANTA_PILAR,1,27813
w_3C_SAN_ISIDRO,1,26013
w_4A_LA_CURVA,1,10305
w_4B_MOCTEZUMA,1,31781
w_4C_VISTA_HERMOSA,1,32513
ASM_01,1,3910
ASM_02,1,27642
ASM_03,1,26930
ASM_04,1,29984
ASM_05,1,30547
ASM_06,1,29982
ASM_07,1,32038
ASM_08,1,3866
ASM_09,1,18750
ASM_10,1,11331
ASM_11,1,22945
ASM_12,1,30030
ASM_13,1,30408
ASM_14,1,31592
ASM_15,1,28874
ASM_16,1,25122
ASM_17,1,30980
ASM_18,1,32101
ASM_19,1,29116
ASM_20,1,5159
ASM_22,1,30045
ASM_23,1,23870
ASM_24,1,29547
ASM_25,1,31303
ASM_27,1,31457
ASM_28,1,31417
ASM_30,1,31728
ASM_32,1,31730
ASM_33,1,31824
ASM_34,1,31824
ASM_35,1,30264
ASM_36,1,25033
ASM_37,1,32054
ASM_40,1,29887
ASM_41,1,30059
ASM_42,1,30548
ASM_43,1,29982
ASM_44,1,29886
ASM_45,1,26903
ASM_46,1,29391
ASO_1,1,30516
ASO_10,1,31397
ASO_12,1,18938
ASO_13,1,18938
ASO_14,1,28189
ASO_15,1,26455
ASO_16,1,15195
ASO_17,1,14887
ASO_18,1,23638
ASO_19,1,29003
ASO_2,1,31561
ASO_21,1,28461
ASO_22,1,30296
ASO_23,1,30297
ASO_3,1,30645
ASO_37,1,31397
ASO_38,1,29751
ASO_39,1,30644
ASO_4,1,31388
ASO_5,1,29751
ASO_6,1,29591
ASO_7,1,31398
ASO_8,1,30033
ASO_9,1,30561
B1_BACA,1,32183
B2_MOTUL,1,32161
B3_SACAPUC,1,32181
B4_TIMUL,1,32175
CONAGUA,1,3888
CU01,1,30054
CU02,1,26903
CU03,1,26710
CU04,1,3910
CU05,1,26308
CU06,1,29402
CU07,1,29302
CU08,1,27643
CU09,1,28675
CU10,1,25066
CU11,1,29887
CU12,1,32039
CU13,1,25081
CU14,1,4356
CU15,1,32038
CU16,1,3918
CU17,1,28871
CU18,1,32054
CU19,1,32054
CU20,1,32054
MI1_SIGLO_XX1,1,32182
MI2_THO_O,1,32180
MI3_HACIENDA_X_LUCH,1,31391
MP1_FIUADY,1,27642
MP2_KOMCHEN,1,29983
MP3_PREDECO,1,29248
MP4_CONTENEDORES,1,28228
OBSERVATORIO,1,26903
P1_CELEST_N,1,30125
P2_CHUNCHUCMIL,1,31542
P3_AMARIS_II,1,26485
P4_NOHUAYUN,1,32059
P5_SISAL,1,30370
P6_TAMCHEN,1,32065
RM_10_SAGARPA,1,25066
RM_16_RANCHO,1,3918
RM_17_DZIDZILCHE,1,28871
RM_19_CRIO,1,31373
RM_20_BAAG,1,29756
RM01_DEPORTIVO_SUR,1,30054
RM02_OBERVATORIO,1,26903
RM03_ACUAPARQUE,1,26710
RM04_BOMBEROS,1,32068
RM05_PORTES_GIL,1,26308
RM06_CHALMUCH,1,29402
RM07_ANICABIL,1,29302
RM08_CHENKU,1,27643
RM09_TECNOLOGICO,1,28675
RM11UCU,1,29887
RM12CHEUMAN,1,32039
RM13TIXCUYTUN,1,25081
RM14MEGALITA,1,4356
RM15SIERRA_PAPACAL,1,32038
RM18_SAC_NICTE,1,28872
